年度,縣市別,統計項目,單位,中小企業(千人),大企業(千人),政府僱用(千人)
2019,新北市,就業人數,千人,1475,111,107
2019,桃園市,就業人數,千人,747,239,73
2019,臺中市,就業人數,千人,1228,146,94
2019,臺南市,就業人數,千人,785,125,65
2019,高雄市,就業人數,千人,1066,162,116
2019,基隆市,就業人數,千人,95,4,20
2019,宜蘭縣,就業人數,千人,155,10,26
2019,新竹市,就業人數,千人,176,134,25
2019,新竹縣,就業人數,千人,146,58,16
2019,苗栗縣,就業人數,千人,141,40,23
2019,彰化縣,就業人數,千人,440,36,34
2019,南投縣,就業人數,千人,180,9,26
2019,雲林縣,就業人數,千人,232,32,29
2019,嘉義市,就業人數,千人,101,8,17
2019,嘉義縣,就業人數,千人,169,16,21
2019,屏東縣,就業人數,千人,275,8,30
2019,澎湖縣,就業人數,千人,24,0,10
2019,花蓮縣,就業人數,千人,99,6,27
2019,臺東縣,就業人數,千人,77,2,19
2019,金馬,就業人數,千人,0,0,1
2019,其他,就業人數,千人,86,0,0
2020,總計,就業人數,千人,9311,1168,1024
2020,臺北市,就業人數,千人,1452,183,246
2020,新北市,就業人數,千人,1491,81,112
2020,桃園市,就業人數,千人,822,206,78
2020,臺中市,就業人數,千人,1264,124,98
2020,臺南市,就業人數,千人,779,120,69
2020,高雄市,就業人數,千人,1069,134,110
2020,基隆市,就業人數,千人,97,3,18
2020,宜蘭縣,就業人數,千人,163,8,22
2020,新竹市,就業人數,千人,190,119,24
2020,新竹縣,就業人數,千人,158,57,17
2020,苗栗縣,就業人數,千人,141,35,24
2020,彰化縣,就業人數,千人,449,30,36
2020,南投縣,就業人數,千人,179,8,25
2020,雲林縣,就業人數,千人,232,29,28
2020,嘉義市,就業人數,千人,105,5,17
2020,嘉義縣,就業人數,千人,165,14,18
2020,屏東縣,就業人數,千人,283,7,28
2020,澎湖縣,就業人數,千人,24,0,11
2020,花蓮縣,就業人數,千人,99,4,25
2020,臺東縣,就業人數,千人,76,1,21
2020,金馬,就業人數,千人,1,0,0
2020,其他,就業人數,千人,73,0,0
2021,總計,就業人數,千人,9200,1222,1026
2021,臺北市,就業人數,千人,1394,184,240
2021,新北市,就業人數,千人,1462,88,112
2021,桃園市,就業人數,千人,837,227,81
2021,臺中市,就業人數,千人,1293,120,109
2021,臺南市,就業人數,千人,751,122,69
2021,高雄市,就業人數,千人,1072,145,110
2021,基隆市,就業人數,千人,91,3,17
2021,宜蘭縣,就業人數,千人,156,9,23
2021,新竹市,就業人數,千人,192,132,23
2021,新竹縣,就業人數,千人,158,56,16
2021,苗栗縣,就業人數,千人,137,40,22
2021,彰化縣,就業人數,千人,456,29,32
2021,南投縣,就業人數,千人,165,7,22
2021,雲林縣,就業人數,千人,233,29,26
2021,嘉義市,就業人數,千人,95,5,16
2021,嘉義縣,就業人數,千人,164,10,17
2021,屏東縣,就業人數,千人,281,9,31
2021,澎湖縣,就業人數,千人,24,0,10
2021,花蓮縣,就業人數,千人,94,4,28
2021,臺東縣,就業人數,千人,79,1,17
2021,金馬,就業人數,千人,1,0,1
2021,其他,就業人數,千人,65,0,0
2022,總計,就業人數,千人,9132,1265,1021
2022,臺北市,就業人數,千人,1345,188,222
2022,新北市,就業人數,千人,1475,88,111
2022,桃園市,就業人數,千人,808,245,83
2022,臺中市,就業人數,千人,1306,123,114
2022,臺南市,就業人數,千人,765,117,67
2022,高雄市,就業人數,千人,1077,149,115
2022,基隆市,就業人數,千人,90,3,19
2022,宜蘭縣,就業人數,千人,146,7,23
2022,新竹市,就業人數,千人,183,148,21
2022,新竹縣,就業人數,千人,155,61,17
2022,苗栗縣,就業人數,千人,143,45,22
2022,彰化縣,就業人數,千人,447,28,30
2022,南投縣,就業人數,千人,165,6,23
2022,雲林縣,就業人數,千人,239,25,27
2022,嘉義市,就業人數,千人,96,5,15
2022,嘉義縣,就業人數,千人,171,12,18
2022,屏東縣,就業人數,千人,271,8,33
2022,澎湖縣,就業人數,千人,26,0,11
2022,花蓮縣,就業人數,千人,94,5,29
2022,臺東縣,就業人數,千人,76,2,20
2022,金馬,就業人數,千人,1,0,0
2022,其他,就業人數,千人,53,0,0
2023,總計,就業人數,千人,9167,1332,1028
2023,臺北市,就業人數,千人,1360,207,224
2023,新北市,就業人數,千人,1463,91,118
