年度,縣市別,行業別,統計項目,單位,中小企業(百萬元),大企業(百萬元)
2015,臺東縣,用水供應及污染整治業,銷售額,百萬元,327, 
2015,金門縣,用水供應及污染整治業,銷售額,百萬元,212,0
2015,連江縣,用水供應及污染整治業,銷售額,百萬元,47,0
2015,總計,營造業,銷售額,百萬元,1459301,770951
2015,臺北市,營造業,銷售額,百萬元,250587,431085
2015,新北市,營造業,銷售額,百萬元,265334,78365
2015,桃園縣,營造業,銷售額,百萬元,146625,27193
2015,臺中市,營造業,銷售額,百萬元,188792,82704
2015,臺南市,營造業,銷售額,百萬元,75797,21928
2015,高雄市,營造業,銷售額,百萬元,192892,78405
2015,基隆市,營造業,銷售額,百萬元,14413, 
2015,宜蘭縣,營造業,銷售額,百萬元,26211,5561
2015,新竹市,營造業,銷售額,百萬元,37475,14404
2015,新竹縣,營造業,銷售額,百萬元,38804,11262
2015,苗栗縣,營造業,銷售額,百萬元,25279,3827
2015,彰化縣,營造業,銷售額,百萬元,45090,1844
2015,南投縣,營造業,銷售額,百萬元,16049, 
2015,雲林縣,營造業,銷售額,百萬元,47394,2869
2015,嘉義市,營造業,銷售額,百萬元,12666,3086
2015,嘉義縣,營造業,銷售額,百萬元,16498, 
2015,屏東縣,營造業,銷售額,百萬元,24757,1982
2015,澎湖縣,營造業,銷售額,百萬元,3732, 
2015,花蓮縣,營造業,銷售額,百萬元,14228,2853
2015,臺東縣,營造業,銷售額,百萬元,7264, 
2015,金門縣,營造業,銷售額,百萬元,8446, 
2015,連江縣,營造業,銷售額,百萬元,966, 
2015,總計,批發及零售業,銷售額,百萬元,4316503,9370146
2015,臺北市,批發及零售業,銷售額,百萬元,920704,4288054
2015,新北市,批發及零售業,銷售額,百萬元,760025,1137099
2015,桃園縣,批發及零售業,銷售額,百萬元,380837,765618
2015,臺中市,批發及零售業,銷售額,百萬元,591255,757224
2015,臺南市,批發及零售業,銷售額,百萬元,305111,421781
2015,高雄市,批發及零售業,銷售額,百萬元,506938,944087
2015,基隆市,批發及零售業,銷售額,百萬元,35753,16113
2015,宜蘭縣,批發及零售業,銷售額,百萬元,50127,40552
2015,新竹市,批發及零售業,銷售額,百萬元,74074,204773
2015,新竹縣,批發及零售業,銷售額,百萬元,78819,158435
2015,苗栗縣,批發及零售業,銷售額,百萬元,54468,115030
2015,彰化縣,批發及零售業,銷售額,百萬元,184607,163785
2015,南投縣,批發及零售業,銷售額,百萬元,48682,33832
2015,雲林縣,批發及零售業,銷售額,百萬元,65392,69468
2015,嘉義市,批發及零售業,銷售額,百萬元,47338,65296
2015,嘉義縣,批發及零售業,銷售額,百萬元,44906,35308
2015,屏東縣,批發及零售業,銷售額,百萬元,80251,87936
2015,澎湖縣,批發及零售業,銷售額,百萬元,8406,4919
2015,花蓮縣,批發及零售業,銷售額,百萬元,40265,33002
2015,臺東縣,批發及零售業,銷售額,百萬元,21738,21153
2015,金門縣,批發及零售業,銷售額,百萬元,15876,6496
2015,連江縣,批發及零售業,銷售額,百萬元,931, 
2015,總計,運輸及倉儲業,銷售額,百萬元,269441,867056
2015,臺北市,運輸及倉儲業,銷售額,百萬元,50278,491182
2015,新北市,運輸及倉儲業,銷售額,百萬元,31553,78596
2015,桃園縣,運輸及倉儲業,銷售額,百萬元,29162,118492
2015,臺中市,運輸及倉儲業,銷售額,百萬元,30138,28465
2015,臺南市,運輸及倉儲業,銷售額,百萬元,14543,9612
2015,高雄市,運輸及倉儲業,銷售額,百萬元,49493,78985
2015,基隆市,運輸及倉儲業,銷售額,百萬元,11060,22984
2015,宜蘭縣,運輸及倉儲業,銷售額,百萬元,6565,2683
2015,新竹市,運輸及倉儲業,銷售額,百萬元,2697,4774
2015,新竹縣,運輸及倉儲業,銷售額,百萬元,4536,5058
2015,苗栗縣,運輸及倉儲業,銷售額,百萬元,4359,1660
2015,彰化縣,運輸及倉儲業,銷售額,百萬元,9844,3550
2015,南投縣,運輸及倉儲業,銷售額,百萬元,3618, 
2015,雲林縣,運輸及倉儲業,銷售額,百萬元,4501,6889
2015,嘉義市,運輸及倉儲業,銷售額,百萬元,3156,1273
2015,嘉義縣,運輸及倉儲業,銷售額,百萬元,2330, 
2015,屏東縣,運輸及倉儲業,銷售額,百萬元,3798, 
2015,澎湖縣,運輸及倉儲業,銷售額,百萬元,1087, 
2015,花蓮縣,運輸及倉儲業,銷售額,百萬元,3584,2265
2015,臺東縣,運輸及倉儲業,銷售額,百萬元,1461, 
2015,金門縣,運輸及倉儲業,銷售額,百萬元,1338,2321
2015,連江縣,運輸及倉儲業,銷售額,百萬元,342, 
2015,總計,住宿及餐飲業,銷售額,百萬元,400811,173389
2015,臺北市,住宿及餐飲業,銷售額,百萬元,99373,89202
2015,新北市,住宿及餐飲業,銷售額,百萬元,47480,8026
2015,桃園縣,住宿及餐飲業,銷售額,百萬元,32997,13981
2015,臺中市,住宿及餐飲業,銷售額,百萬元,50194,13230
2015,臺南市,住宿及餐飲業,銷售額,百萬元,28074,6170
2015,高雄市,住宿及餐飲業,銷售額,百萬元,45443,13240
2015,基隆市,住宿及餐飲業,銷售額,百萬元,4840, 
2015,宜蘭縣,住宿及餐飲業,銷售額,百萬元,7264,3613
2015,新竹市,住宿及餐飲業,銷售額,百萬元,9621,3337
2015,新竹縣,住宿及餐飲業,銷售額,百萬元,8082,2744
2015,苗栗縣,住宿及餐飲業,銷售額,百萬元,6212, 
2015,彰化縣,住宿及餐飲業,銷售額,百萬元,11370,893
2015,南投縣,住宿及餐飲業,銷售額,百萬元,7868,3324
2015,雲林縣,住宿及餐飲業,銷售額,百萬元,4717, 
2015,嘉義市,住宿及餐飲業,銷售額,百萬元,6452, 
2015,嘉義縣,住宿及餐飲業,銷售額,百萬元,3797, 
2015,屏東縣,住宿及餐飲業,銷售額,百萬元,10715,5009
2015,澎湖縣,住宿及餐飲業,銷售額,百萬元,1781, 
2015,花蓮縣,住宿及餐飲業,銷售額,百萬元,8118,3012
2015,臺東縣,住宿及餐飲業,銷售額,百萬元,5038,2692
2015,金門縣,住宿及餐飲業,銷售額,百萬元,1125, 
2015,連江縣,住宿及餐飲業,銷售額,百萬元,249,0
2015,總計,資訊及通訊傳播業,銷售額,百萬元,117262,952733
2015,臺北市,資訊及通訊傳播業,銷售額,百萬元,61744,688007
2015,新北市,資訊及通訊傳播業,銷售額,百萬元,18635,84148
2015,桃園縣,資訊及通訊傳播業,銷售額,百萬元,4770,9739
2015,臺中市,資訊及通訊傳播業,銷售額,百萬元,9617,35306
2015,臺南市,資訊及通訊傳播業,銷售額,百萬元,4015,15693
2015,高雄市,資訊及通訊傳播業,銷售額,百萬元,7396,33476
2015,基隆市,資訊及通訊傳播業,銷售額,百萬元,680, 
2015,宜蘭縣,資訊及通訊傳播業,銷售額,百萬元,510, 
2015,新竹市,資訊及通訊傳播業,銷售額,百萬元,2641,21374
2015,新竹縣,資訊及通訊傳播業,銷售額,百萬元,1835,17632
2015,苗栗縣,資訊及通訊傳播業,銷售額,百萬元,772, 
2015,彰化縣,資訊及通訊傳播業,銷售額,百萬元,990, 
2015,南投縣,資訊及通訊傳播業,銷售額,百萬元,637, 
2015,雲林縣,資訊及通訊傳播業,銷售額,百萬元,662, 
2015,嘉義市,資訊及通訊傳播業,銷售額,百萬元,595, 
2015,嘉義縣,資訊及通訊傳播業,銷售額,百萬元,236, 
2015,屏東縣,資訊及通訊傳播業,銷售額,百萬元,556, 
2015,澎湖縣,資訊及通訊傳播業,銷售額,百萬元,107, 
2015,花蓮縣,資訊及通訊傳播業,銷售額,百萬元,412, 
2015,臺東縣,資訊及通訊傳播業,銷售額,百萬元,174, 
2015,金門縣,資訊及通訊傳播業,銷售額,百萬元,266, 
2015,連江縣,資訊及通訊傳播業,銷售額,百萬元,12, 
2015,總計,金融及保險業,銷售額,百萬元,202960,2195457
2015,臺北市,金融及保險業,銷售額,百萬元,68550,1834244
2015,新北市,金融及保險業,銷售額,百萬元,29743,71555
2015,桃園縣,金融及保險業,銷售額,百萬元,10640,50797
2015,臺中市,金融及保險業,銷售額,百萬元,19872,75950
2015,臺南市,金融及保險業,銷售額,百萬元,12868,27020
2015,高雄市,金融及保險業,銷售額,百萬元,22228,57769
2015,基隆市,金融及保險業,銷售額,百萬元,2712,2878
2015,宜蘭縣,金融及保險業,銷售額,百萬元,1787,6421
2015,新竹市,金融及保險業,銷售額,百萬元,3563,15871
2015,新竹縣,金融及保險業,銷售額,百萬元,3187,7408
2015,苗栗縣,金融及保險業,銷售額,百萬元,2375,4622
2015,彰化縣,金融及保險業,銷售額,百萬元,7540,11131
2015,南投縣,金融及保險業,銷售額,百萬元,2677,3467
2015,雲林縣,金融及保險業,銷售額,百萬元,2896,6515
2015,嘉義市,金融及保險業,銷售額,百萬元,2836,4826
2015,嘉義縣,金融及保險業,銷售額,百萬元,1183,4487
2015,屏東縣,金融及保險業,銷售額,百萬元,4155,5597
2015,澎湖縣,金融及保險業,銷售額,百萬元,553, 
2015,花蓮縣,金融及保險業,銷售額,百萬元,1900,3337
2015,臺東縣,金融及保險業,銷售額,百萬元,1415,990
2015,金門縣,金融及保險業,銷售額,百萬元,270, 
2015,連江縣,金融及保險業,銷售額,百萬元, ,0
2015,總計,不動產業,銷售額,百萬元,237569,879142
2015,臺北市,不動產業,銷售額,百萬元,58041,432430
2015,新北市,不動產業,銷售額,百萬元,32896,115933
2015,桃園縣,不動產業,銷售額,百萬元,19951,51195
2015,臺中市,不動產業,銷售額,百萬元,34502,141337
2015,臺南市,不動產業,銷售額,百萬元,17071,25327
2015,高雄市,不動產業,銷售額,百萬元,21083,52031
2015,基隆市,不動產業,銷售額,百萬元,1181, 
2015,宜蘭縣,不動產業,銷售額,百萬元,5839,2100
2015,新竹市,不動產業,銷售額,百萬元,6685,19371
2015,新竹縣,不動產業,銷售額,百萬元,6094,19060
2015,苗栗縣,不動產業,銷售額,百萬元,4641,2710
2015,彰化縣,不動產業,銷售額,百萬元,8794,5054
2015,南投縣,不動產業,銷售額,百萬元,2293, 
2015,雲林縣,不動產業,銷售額,百萬元,3291,3264
2015,嘉義市,不動產業,銷售額,百萬元,3816,1528
2015,嘉義縣,不動產業,銷售額,百萬元,1610, 
2015,屏東縣,不動產業,銷售額,百萬元,2929,1450
2015,澎湖縣,不動產業,銷售額,百萬元,664,0
2015,花蓮縣,不動產業,銷售額,百萬元,3084,1720
2015,臺東縣,不動產業,銷售額,百萬元,1441,912
2015,金門縣,不動產業,銷售額,百萬元,1660, 
2015,連江縣,不動產業,銷售額,百萬元, ,0
2015,總計,專業、科學及技術服務業,銷售額,百萬元,210016,471920
2015,臺北市,專業、科學及技術服務業,銷售額,百萬元,98479,262003
2015,新北市,專業、科學及技術服務業,銷售額,百萬元,31853,42841
2015,桃園縣,專業、科學及技術服務業,銷售額,百萬元,13684,23625
2015,臺中市,專業、科學及技術服務業,銷售額,百萬元,22685,14555
2015,臺南市,專業、科學及技術服務業,銷售額,百萬元,7889,3318
2015,高雄市,專業、科學及技術服務業,銷售額,百萬元,15052,13311
2015,基隆市,專業、科學及技術服務業,銷售額,百萬元,1028, 
2015,宜蘭縣,專業、科學及技術服務業,銷售額,百萬元,1613, 
2015,新竹市,專業、科學及技術服務業,銷售額,百萬元,3616,30296
2015,新竹縣,專業、科學及技術服務業,銷售額,百萬元,3656,75010
2015,苗栗縣,專業、科學及技術服務業,銷售額,百萬元,1076, 
2015,彰化縣,專業、科學及技術服務業,銷售額,百萬元,2309, 
2015,南投縣,專業、科學及技術服務業,銷售額,百萬元,1168, 
2015,雲林縣,專業、科學及技術服務業,銷售額,百萬元,1409, 
2015,嘉義市,專業、科學及技術服務業,銷售額,百萬元,1080, 
2015,嘉義縣,專業、科學及技術服務業,銷售額,百萬元,807, 
2015,屏東縣,專業、科學及技術服務業,銷售額,百萬元,1094, 
2015,澎湖縣,專業、科學及技術服務業,銷售額,百萬元,40,0
2015,花蓮縣,專業、科學及技術服務業,銷售額,百萬元,669, 
2015,臺東縣,專業、科學及技術服務業,銷售額,百萬元,467,0
2015,金門縣,專業、科學及技術服務業,銷售額,百萬元,265,0
2015,連江縣,專業、科學及技術服務業,銷售額,百萬元,76,0
2015,總計,支援服務業,銷售額,百萬元,142999,367866
2015,臺北市,支援服務業,銷售額,百萬元,35017,292088
2015,新北市,支援服務業,銷售額,百萬元,21129,16970
2015,桃園縣,支援服務業,銷售額,百萬元,17279,7556
2015,臺中市,支援服務業,銷售額,百萬元,18305,13030
2015,臺南市,支援服務業,銷售額,百萬元,7355,5023
2015,高雄市,支援服務業,銷售額,百萬元,17624,17678
2015,基隆市,支援服務業,銷售額,百萬元,1567, 
2015,宜蘭縣,支援服務業,銷售額,百萬元,1220, 
2015,新竹市,支援服務業,銷售額,百萬元,3771,5039
2015,新竹縣,支援服務業,銷售額,百萬元,2844,3705
2015,苗栗縣,支援服務業,銷售額,百萬元,2249, 
2015,彰化縣,支援服務業,銷售額,百萬元,3174,1834
2015,南投縣,支援服務業,銷售額,百萬元,1233, 
2015,雲林縣,支援服務業,銷售額,百萬元,1533, 
2015,嘉義市,支援服務業,銷售額,百萬元,1527, 
2015,嘉義縣,支援服務業,銷售額,百萬元,1344, 
2015,屏東縣,支援服務業,銷售額,百萬元,1848, 
2015,澎湖縣,支援服務業,銷售額,百萬元,743,0
2015,花蓮縣,支援服務業,銷售額,百萬元,1560, 
2015,臺東縣,支援服務業,銷售額,百萬元,927,0
2015,金門縣,支援服務業,銷售額,百萬元,692,0
2015,連江縣,支援服務業,銷售額,百萬元,58,0
2015,總計,教育服務業,銷售額,百萬元,10099,4237
2015,臺北市,教育服務業,銷售額,百萬元,3495,2073
2015,新北市,教育服務業,銷售額,百萬元,1028,0
2015,桃園縣,教育服務業,銷售額,百萬元,659, 
2015,臺中市,教育服務業,銷售額,百萬元,1430, 
2015,臺南市,教育服務業,銷售額,百萬元,656,0
2015,高雄市,教育服務業,銷售額,百萬元,1366, 
2015,基隆市,教育服務業,銷售額,百萬元,22,0
2015,宜蘭縣,教育服務業,銷售額,百萬元,86,0
2015,新竹市,教育服務業,銷售額,百萬元,384,0
2015,新竹縣,教育服務業,銷售額,百萬元,101,0
2015,苗栗縣,教育服務業,銷售額,百萬元,70,0
2015,彰化縣,教育服務業,銷售額,百萬元,177,0
2015,南投縣,教育服務業,銷售額,百萬元,63,0
2015,雲林縣,教育服務業,銷售額,百萬元,89,0
2015,嘉義市,教育服務業,銷售額,百萬元,192,0
2015,嘉義縣,教育服務業,銷售額,百萬元,20,0
2015,屏東縣,教育服務業,銷售額,百萬元,166,0
2015,澎湖縣,教育服務業,銷售額,百萬元,11,0
2015,花蓮縣,教育服務業,銷售額,百萬元,30,0
2015,臺東縣,教育服務業,銷售額,百萬元,46,0
2015,金門縣,教育服務業,銷售額,百萬元,8,0
2015,連江縣,教育服務業,銷售額,百萬元, ,0
2015,總計,醫療保健及社會工作服務業,銷售額,百萬元,2579,9778
2015,臺北市,醫療保健及社會工作服務業,銷售額,百萬元,1114,2909
2015,新北市,醫療保健及社會工作服務業,銷售額,百萬元,290, 
2015,桃園縣,醫療保健及社會工作服務業,銷售額,百萬元,140, 
2015,臺中市,醫療保健及社會工作服務業,銷售額,百萬元,223, 
2015,臺南市,醫療保健及社會工作服務業,銷售額,百萬元,181,0
2015,高雄市,醫療保健及社會工作服務業,銷售額,百萬元,207, 
2015,基隆市,醫療保健及社會工作服務業,銷售額,百萬元,20,0
2015,宜蘭縣,醫療保健及社會工作服務業,銷售額,百萬元,25,0
2015,新竹市,醫療保健及社會工作服務業,銷售額,百萬元,29,0
2015,新竹縣,醫療保健及社會工作服務業,銷售額,百萬元,88,0
2015,苗栗縣,醫療保健及社會工作服務業,銷售額,百萬元,6,0
2015,彰化縣,醫療保健及社會工作服務業,銷售額,百萬元,36,0
2015,南投縣,醫療保健及社會工作服務業,銷售額,百萬元,27,0
2015,雲林縣,醫療保健及社會工作服務業,銷售額,百萬元,25,0
2015,嘉義市,醫療保健及社會工作服務業,銷售額,百萬元,26,0
2015,嘉義縣,醫療保健及社會工作服務業,銷售額,百萬元,0,0
2015,屏東縣,醫療保健及社會工作服務業,銷售額,百萬元,34,0
2015,澎湖縣,醫療保健及社會工作服務業,銷售額,百萬元, ,0
2015,花蓮縣,醫療保健及社會工作服務業,銷售額,百萬元,87,0
2015,臺東縣,醫療保健及社會工作服務業,銷售額,百萬元,17,0
2015,金門縣,醫療保健及社會工作服務業,銷售額,百萬元, ,0
2015,連江縣,醫療保健及社會工作服務業,銷售額,百萬元,0,0
2015,總計,藝術、娛樂及休閒服務業,銷售額,百萬元,54203,37472
2015,臺北市,藝術、娛樂及休閒服務業,銷售額,百萬元,14057,18113
2015,新北市,藝術、娛樂及休閒服務業,銷售額,百萬元,7714,3691
2015,桃園縣,藝術、娛樂及休閒服務業,銷售額,百萬元,4046,2429
2015,臺中市,藝術、娛樂及休閒服務業,銷售額,百萬元,6051,2010
2015,臺南市,藝術、娛樂及休閒服務業,銷售額,百萬元,3828, 
2015,高雄市,藝術、娛樂及休閒服務業,銷售額,百萬元,5925,2525
2015,基隆市,藝術、娛樂及休閒服務業,銷售額,百萬元,882, 
2015,宜蘭縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1028, 
2015,新竹市,藝術、娛樂及休閒服務業,銷售額,百萬元,1207, 
2015,新竹縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1140, 
2015,苗栗縣,藝術、娛樂及休閒服務業,銷售額,百萬元,834, 
2015,彰化縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1517, 
2015,南投縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1018, 
2015,雲林縣,藝術、娛樂及休閒服務業,銷售額,百萬元,761, 
2015,嘉義市,藝術、娛樂及休閒服務業,銷售額,百萬元,864,0
2015,嘉義縣,藝術、娛樂及休閒服務業,銷售額,百萬元,457, 
2015,屏東縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1487, 
2015,澎湖縣,藝術、娛樂及休閒服務業,銷售額,百萬元,160,0
2015,花蓮縣,藝術、娛樂及休閒服務業,銷售額,百萬元,643, 
2015,臺東縣,藝術、娛樂及休閒服務業,銷售額,百萬元,420,0
2015,金門縣,藝術、娛樂及休閒服務業,銷售額,百萬元,130,0
2015,連江縣,藝術、娛樂及休閒服務業,銷售額,百萬元,35,0
2015,總計,其他服務業,銷售額,百萬元,121797,112690
2015,臺北市,其他服務業,銷售額,百萬元,23812,61199
2015,新北市,其他服務業,銷售額,百萬元,14488,10470
2015,桃園縣,其他服務業,銷售額,百萬元,9970,8470
2015,臺中市,其他服務業,銷售額,百萬元,15283,7419
2015,臺南市,其他服務業,銷售額,百萬元,9951, 
2015,高雄市,其他服務業,銷售額,百萬元,14645,8164
2015,基隆市,其他服務業,銷售額,百萬元,1775, 
2015,宜蘭縣,其他服務業,銷售額,百萬元,2327, 
2015,新竹市,其他服務業,銷售額,百萬元,2834, 
2015,新竹縣,其他服務業,銷售額,百萬元,2569, 
2015,苗栗縣,其他服務業,銷售額,百萬元,2216, 
2015,彰化縣,其他服務業,銷售額,百萬元,6316, 
2015,南投縣,其他服務業,銷售額,百萬元,2124, 
2015,雲林縣,其他服務業,銷售額,百萬元,2482, 
2015,嘉義市,其他服務業,銷售額,百萬元,2091, 
2015,嘉義縣,其他服務業,銷售額,百萬元,1568, 
2015,屏東縣,其他服務業,銷售額,百萬元,4025, 
2015,澎湖縣,其他服務業,銷售額,百萬元,388,0
2015,花蓮縣,其他服務業,銷售額,百萬元,1684,0
2015,臺東縣,其他服務業,銷售額,百萬元,932, 
2015,金門縣,其他服務業,銷售額,百萬元,270,0
2015,連江縣,其他服務業,銷售額,百萬元,44,0
2016,總計,農林漁牧業,銷售額,百萬元,24420,22406
2016,臺北市,農林漁牧業,銷售額,百萬元,2215,8545
2016,新北市,農林漁牧業,銷售額,百萬元,1607, 
2016,桃園縣,農林漁牧業,銷售額,百萬元,1661, 
2016,臺中市,農林漁牧業,銷售額,百萬元,1523, 
2016,臺南市,農林漁牧業,銷售額,百萬元,1978,1701
2016,高雄市,農林漁牧業,銷售額,百萬元,6515,983
2016,基隆市,農林漁牧業,銷售額,百萬元,118,3651
2016,宜蘭縣,農林漁牧業,銷售額,百萬元,726,414
2016,新竹市,農林漁牧業,銷售額,百萬元,56,0
2016,新竹縣,農林漁牧業,銷售額,百萬元,281, 
2016,苗栗縣,農林漁牧業,銷售額,百萬元,324, 
2016,彰化縣,農林漁牧業,銷售額,百萬元,1502,1525
2016,南投縣,農林漁牧業,銷售額,百萬元,1327, 
2016,雲林縣,農林漁牧業,銷售額,百萬元,990,0
2016,嘉義市,農林漁牧業,銷售額,百萬元,145,250
2016,嘉義縣,農林漁牧業,銷售額,百萬元,844,0
2016,屏東縣,農林漁牧業,銷售額,百萬元,1667,1817
2016,澎湖縣,農林漁牧業,銷售額,百萬元,65,0
2016,花蓮縣,農林漁牧業,銷售額,百萬元,355,101
2016,臺東縣,農林漁牧業,銷售額,百萬元,423,0
2016,金門縣,農林漁牧業,銷售額,百萬元,91,0
2016,連江縣,農林漁牧業,銷售額,百萬元, ,0
2016,總計,礦業及土石採取業,銷售額,百萬元,29147,13692
2016,臺北市,礦業及土石採取業,銷售額,百萬元,657,6550
2016,新北市,礦業及土石採取業,銷售額,百萬元,2222, 
2016,桃園縣,礦業及土石採取業,銷售額,百萬元,1359, 
2016,臺中市,礦業及土石採取業,銷售額,百萬元,3239, 
2016,臺南市,礦業及土石採取業,銷售額,百萬元,671,415
2016,高雄市,礦業及土石採取業,銷售額,百萬元,1315, 
2016,基隆市,礦業及土石採取業,銷售額,百萬元, ,3849
2016,宜蘭縣,礦業及土石採取業,銷售額,百萬元,2470,585
2016,新竹市,礦業及土石採取業,銷售額,百萬元,224,0
2016,新竹縣,礦業及土石採取業,銷售額,百萬元,1522,0
2016,苗栗縣,礦業及土石採取業,銷售額,百萬元,1291,0
2016,彰化縣,礦業及土石採取業,銷售額,百萬元,237,0
2016,南投縣,礦業及土石採取業,銷售額,百萬元,2313,0
2016,雲林縣,礦業及土石採取業,銷售額,百萬元,849,0
2016,嘉義市,礦業及土石採取業,銷售額,百萬元,10,0
2016,嘉義縣,礦業及土石採取業,銷售額,百萬元,96,0
2016,屏東縣,礦業及土石採取業,銷售額,百萬元,1537,580
2016,澎湖縣,礦業及土石採取業,銷售額,百萬元,322,0
2016,花蓮縣,礦業及土石採取業,銷售額,百萬元,2565,0
2016,臺東縣,礦業及土石採取業,銷售額,百萬元,1073,0
2016,金門縣,礦業及土石採取業,銷售額,百萬元,1412,0
2016,連江縣,礦業及土石採取業,銷售額,百萬元,0,0
2016,總計,製造業,銷售額,百萬元,4070669,9537799
2016,臺北市,製造業,銷售額,百萬元,234672,1281385
2016,新北市,製造業,銷售額,百萬元,657251,810802
2016,桃園縣,製造業,銷售額,百萬元,542458,938688
2016,臺中市,製造業,銷售額,百萬元,711361,776584
2016,臺南市,製造業,銷售額,百萬元,406906,656291
2016,高雄市,製造業,銷售額,百萬元,415096,1420930
2016,基隆市,製造業,銷售額,百萬元,9048,13199
2016,宜蘭縣,製造業,銷售額,百萬元,62199,31769
2016,新竹市,製造業,銷售額,百萬元,71883,1444211
2016,新竹縣,製造業,銷售額,百萬元,86258,489841
2016,苗栗縣,製造業,銷售額,百萬元,151189,338063
2016,彰化縣,製造業,銷售額,百萬元,320233,444755
2016,南投縣,製造業,銷售額,百萬元,42702,70290
2016,雲林縣,製造業,銷售額,百萬元,193000,687177
2016,嘉義市,製造業,銷售額,百萬元,20019,3069
2016,嘉義縣,製造業,銷售額,百萬元,85109,45050
2016,屏東縣,製造業,銷售額,百萬元,42999,66596
2016,澎湖縣,製造業,銷售額,百萬元,736,501
2016,花蓮縣,製造業,銷售額,百萬元,12550,6430
2016,臺東縣,製造業,銷售額,百萬元,3843, 
2016,金門縣,製造業,銷售額,百萬元,1145, 
2016,連江縣,製造業,銷售額,百萬元,15,-
2016,總計,電力及燃氣供應業,銷售額,百萬元,6611,788205
2016,臺北市,電力及燃氣供應業,銷售額,百萬元,1482,72201
2016,新北市,電力及燃氣供應業,銷售額,百萬元,654,43788
2016,桃園縣,電力及燃氣供應業,銷售額,百萬元,207,6328
2016,臺中市,電力及燃氣供應業,銷售額,百萬元,685,102582
2016,臺南市,電力及燃氣供應業,銷售額,百萬元,429,90199
2016,高雄市,電力及燃氣供應業,銷售額,百萬元,571,136502
2016,基隆市,電力及燃氣供應業,銷售額,百萬元, , 
2016,宜蘭縣,電力及燃氣供應業,銷售額,百萬元,345,93493
2016,新竹市,電力及燃氣供應業,銷售額,百萬元,197, 
2016,新竹縣,電力及燃氣供應業,銷售額,百萬元,156, 
2016,苗栗縣,電力及燃氣供應業,銷售額,百萬元,168, 
2016,彰化縣,電力及燃氣供應業,銷售額,百萬元,383,62645
2016,南投縣,電力及燃氣供應業,銷售額,百萬元,20, 
2016,雲林縣,電力及燃氣供應業,銷售額,百萬元,357, 
2016,嘉義市,電力及燃氣供應業,銷售額,百萬元,149, 
2016,嘉義縣,電力及燃氣供應業,銷售額,百萬元,327,0
2016,屏東縣,電力及燃氣供應業,銷售額,百萬元,250, 
2016,澎湖縣,電力及燃氣供應業,銷售額,百萬元,0, 
2016,花蓮縣,電力及燃氣供應業,銷售額,百萬元,89, 
2016,臺東縣,電力及燃氣供應業,銷售額,百萬元,35, 
2016,金門縣,電力及燃氣供應業,銷售額,百萬元, , 
2016,連江縣,電力及燃氣供應業,銷售額,百萬元,0, 
2016,總計,用水供應及污染整治業,銷售額,百萬元,55809,117583
2016,臺北市,用水供應及污染整治業,銷售額,百萬元,5036,22773
2016,新北市,用水供應及污染整治業,銷售額,百萬元,8033,6089
2016,桃園縣,用水供應及污染整治業,銷售額,百萬元,7582,21624
2016,臺中市,用水供應及污染整治業,銷售額,百萬元,7700,12838
2016,臺南市,用水供應及污染整治業,銷售額,百萬元,4366,6997
2016,高雄市,用水供應及污染整治業,銷售額,百萬元,8989,26881
2016,基隆市,用水供應及污染整治業,銷售額,百萬元,804, 
2016,宜蘭縣,用水供應及污染整治業,銷售額,百萬元,610, 
2016,新竹市,用水供應及污染整治業,銷售額,百萬元,1143,2898
2016,新竹縣,用水供應及污染整治業,銷售額,百萬元,1021,2300
2016,苗栗縣,用水供應及污染整治業,銷售額,百萬元,1083, 
2016,彰化縣,用水供應及污染整治業,銷售額,百萬元,2796,3840
2016,南投縣,用水供應及污染整治業,銷售額,百萬元,779, 
2016,雲林縣,用水供應及污染整治業,銷售額,百萬元,1809,2700
2016,嘉義市,用水供應及污染整治業,銷售額,百萬元,513, 
2016,嘉義縣,用水供應及污染整治業,銷售額,百萬元,1308,1739
2016,屏東縣,用水供應及污染整治業,銷售額,百萬元,1012,3326
2016,澎湖縣,用水供應及污染整治業,銷售額,百萬元,124,0
2016,花蓮縣,用水供應及污染整治業,銷售額,百萬元,568, 
2016,臺東縣,用水供應及污染整治業,銷售額,百萬元,282, 
2016,金門縣,用水供應及污染整治業,銷售額,百萬元,218,0
2016,連江縣,用水供應及污染整治業,銷售額,百萬元,33,0
2016,總計,營建工程業,銷售額,百萬元,1417221,731281
2016,臺北市,營建工程業,銷售額,百萬元,247872,407755
2016,新北市,營建工程業,銷售額,百萬元,256911,75962
2016,桃園縣,營建工程業,銷售額,百萬元,144001,27424
2016,臺中市,營建工程業,銷售額,百萬元,184992,80133
2016,臺南市,營建工程業,銷售額,百萬元,76739,21951
2016,高雄市,營建工程業,銷售額,百萬元,178006,72265
2016,基隆市,營建工程業,銷售額,百萬元,15691, 
2016,宜蘭縣,營建工程業,銷售額,百萬元,25269,6295
2016,新竹市,營建工程業,銷售額,百萬元,36591,12961
2016,新竹縣,營建工程業,銷售額,百萬元,36026,8204
