年度,縣市別,行業別,統計項目,單位,中小企業(家),大企業(家)
2013,彰化縣,用水供應及污染整治業,家數,家,409,17
2013,南投縣,用水供應及污染整治業,家數,家,135, 
2013,雲林縣,用水供應及污染整治業,家數,家,275,7
2013,嘉義市,用水供應及污染整治業,家數,家,69, 
2013,嘉義縣,用水供應及污染整治業,家數,家,176, 
2013,屏東縣,用水供應及污染整治業,家數,家,323,12
2013,澎湖縣,用水供應及污染整治業,家數,家,16,0
2013,花蓮縣,用水供應及污染整治業,家數,家,118, 
2013,臺東縣,用水供應及污染整治業,家數,家,74, 
2013,金門縣,用水供應及污染整治業,家數,家,23, 
2013,連江縣,用水供應及污染整治業,家數,家,7,0
2013,總計,營造業,家數,家,107498,1281
2013,臺北市,營造業,家數,家,10369,473
2013,新北市,營造業,家數,家,20884,204
2013,桃園縣,營造業,家數,家,9762,77
2013,臺中市,營造業,家數,家,13650,154
2013,臺南市,營造業,家數,家,6547,56
2013,高雄市,營造業,家數,家,13377,147
2013,基隆市,營造業,家數,家,1894, 
2013,宜蘭縣,營造業,家數,家,2845,24
2013,新竹市,營造業,家數,家,2170,23
2013,新竹縣,營造業,家數,家,2829,24
2013,苗栗縣,營造業,家數,家,2805,12
2013,彰化縣,營造業,家數,家,4390,13
2013,南投縣,營造業,家數,家,2295, 
2013,雲林縣,營造業,家數,家,3190,19
2013,嘉義市,營造業,家數,家,1066,8
2013,嘉義縣,營造業,家數,家,2083,7
2013,屏東縣,營造業,家數,家,3220,12
2013,澎湖縣,營造業,家數,家,398, 
2013,花蓮縣,營造業,家數,家,2083,7
2013,臺東縣,營造業,家數,家,848,7
2013,金門縣,營造業,家數,家,686, 
2013,連江縣,營造業,家數,家,107, 
2013,總計,批發及零售業,家數,家,666857,17126
2013,臺北市,批發及零售業,家數,家,115792,5481
2013,新北市,批發及零售業,家數,家,99781,2723
2013,桃園縣,批發及零售業,家數,家,51409,1271
2013,臺中市,批發及零售業,家數,家,81353,2010
2013,臺南市,批發及零售業,家數,家,51736,1019
2013,高雄市,批發及零售業,家數,家,78441,1874
2013,基隆市,批發及零售業,家數,家,8575,74
2013,宜蘭縣,批發及零售業,家數,家,11836,155
2013,新竹市,批發及零售業,家數,家,11944,300
2013,新竹縣,批發及零售業,家數,家,11066,338
2013,苗栗縣,批發及零售業,家數,家,12312,166
2013,彰化縣,批發及零售業,家數,家,31134,563
2013,南投縣,批發及零售業,家數,家,12412,142
2013,雲林縣,批發及零售業,家數,家,16225,238
2013,嘉義市,批發及零售業,家數,家,8705,158
2013,嘉義縣,批發及零售業,家數,家,9894,152
2013,屏東縣,批發及零售業,家數,家,18872,281
2013,澎湖縣,批發及零售業,家數,家,3118,13
2013,花蓮縣,批發及零售業,家數,家,9519,105
2013,臺東縣,批發及零售業,家數,家,6260,45
2013,金門縣,批發及零售業,家數,家,16213,17
2013,連江縣,批發及零售業,家數,家,260, 
2013,總計,運輸及倉儲業,家數,家,30283,1062
2013,臺北市,運輸及倉儲業,家數,家,5214,446
2013,新北市,運輸及倉儲業,家數,家,6496,83
2013,桃園縣,運輸及倉儲業,家數,家,2010,78
2013,臺中市,運輸及倉儲業,家數,家,2960,84
2013,臺南市,運輸及倉儲業,家數,家,1190,33
2013,高雄市,運輸及倉儲業,家數,家,4782,172
2013,基隆市,運輸及倉儲業,家數,家,1223,39
2013,宜蘭縣,運輸及倉儲業,家數,家,732,17
2013,新竹市,運輸及倉儲業,家數,家,305,15
2013,新竹縣,運輸及倉儲業,家數,家,399,11
2013,苗栗縣,運輸及倉儲業,家數,家,423,9
2013,彰化縣,運輸及倉儲業,家數,家,892,19
2013,南投縣,運輸及倉儲業,家數,家,492, 
2013,雲林縣,運輸及倉儲業,家數,家,555,11
2013,嘉義市,運輸及倉儲業,家數,家,328,6
2013,嘉義縣,運輸及倉儲業,家數,家,663, 
2013,屏東縣,運輸及倉儲業,家數,家,550, 
2013,澎湖縣,運輸及倉儲業,家數,家,309, 
2013,花蓮縣,運輸及倉儲業,家數,家,353,8
2013,臺東縣,運輸及倉儲業,家數,家,137, 
2013,金門縣,運輸及倉儲業,家數,家,186,8
2013,連江縣,運輸及倉儲業,家數,家,84, 
2013,總計,住宿及餐飲業,家數,家,130653,430
2013,臺北市,住宿及餐飲業,家數,家,19843,187
2013,新北市,住宿及餐飲業,家數,家,14510,35
2013,桃園縣,住宿及餐飲業,家數,家,9247,29
2013,臺中市,住宿及餐飲業,家數,家,15143,52
2013,臺南市,住宿及餐飲業,家數,家,13367,11
2013,高雄市,住宿及餐飲業,家數,家,17161,34
2013,基隆市,住宿及餐飲業,家數,家,2554, 
2013,宜蘭縣,住宿及餐飲業,家數,家,3028,8
2013,新竹市,住宿及餐飲業,家數,家,2855,11
2013,新竹縣,住宿及餐飲業,家數,家,2595, 
2013,苗栗縣,住宿及餐飲業,家數,家,2848, 
2013,彰化縣,住宿及餐飲業,家數,家,5103,6
2013,南投縣,住宿及餐飲業,家數,家,2987,14
2013,雲林縣,住宿及餐飲業,家數,家,2366, 
2013,嘉義市,住宿及餐飲業,家數,家,2310, 
2013,嘉義縣,住宿及餐飲業,家數,家,1901, 
2013,屏東縣,住宿及餐飲業,家數,家,5467,7
2013,澎湖縣,住宿及餐飲業,家數,家,949, 
2013,花蓮縣,住宿及餐飲業,家數,家,3296,12
2013,臺東縣,住宿及餐飲業,家數,家,2311,6
2013,金門縣,住宿及餐飲業,家數,家,599,0
2013,連江縣,住宿及餐飲業,家數,家,213,0
2013,總計,資訊及通訊傳播業,家數,家,17794,727
2013,臺北市,資訊及通訊傳播業,家數,家,7652,452
2013,新北市,資訊及通訊傳播業,家數,家,2991,103
2013,桃園縣,資訊及通訊傳播業,家數,家,989,25
2013,臺中市,資訊及通訊傳播業,家數,家,1908,36
