年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2016,皮革、毛皮及其製品製造業,出口額,百萬元,41879,10773,31105
2016,木竹製品製造業,出口額,百萬元,3919,2442,1477
2016,紙漿、紙及紙製品製造業,出口額,百萬元,30575,12178,18397
2016,印刷及資料儲存媒體複製業,出口額,百萬元,54174,3999,50174
2016,石油及煤製品製造業,出口額,百萬元,277543,126,277417
2016,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,470186,23163,447023
2016,其他化學製品製造業,出口額,百萬元,76767,14542,62224
2016,藥品及醫用化學製品製造業,出口額,百萬元,18216,845,17371
2016,橡膠製品製造業,出口額,百萬元,69887,11045,58842
2016,塑膠製品製造業,出口額,百萬元,141269,50307,90961
2016,非金屬礦物製品製造業,出口額,百萬元,72879,17554,55325
2016,基本金屬製造業,出口額,百萬元,314623,33064,281559
2016,金屬製品製造業,出口額,百萬元,330895,117110,213785
2016,電子零組件製造業,出口額,百萬元,2872134,304950,2567183
2016,電腦、電子產品及光學製品製造業,出口額,百萬元,437581,35005,402575
2016,電力設備及配備製造業,出口額,百萬元,196898,44867,152031
2016,機械設備製造業,出口額,百萬元,318765,131117,187648
2016,汽車及其零件製造業,出口額,百萬元,118015,16482,101533
2016,其他運輸工具及其零件製造業,出口額,百萬元,178096,46681,131415
2016,家具製造業,出口額,百萬元,26043,16288,9754
2016,其他製造業,出口額,百萬元,92657,31156,61501
2016,產業用機械設備維修及安裝業,出口額,百萬元,44327,8335,35991
2017,總計,出口額,百萬元,6815222,979858,5835364
2017,食品及飼品製造業,出口額,百萬元,33207,10250,22957
2017,飲料製造業,出口額,百萬元,2640,452,2188
2017,菸草製造業,出口額,百萬元,2547,0,
2017,紡織業,出口額,百萬元,174238,22602,151636
2017,成衣及服飾品製造業,出口額,百萬元,19708,10736,8972
2017,皮革、毛皮及其製品製造業,出口額,百萬元,41012,8339,32672
2017,木竹製品製造業,出口額,百萬元,4407,2906,1501
2017,紙漿、紙及紙製品製造業,出口額,百萬元,30432,7107,23325
2017,印刷及資料儲存媒體複製業,出口額,百萬元,42749,3826,38923
2017,石油及煤製品製造業,出口額,百萬元,292794,146,292648
2017,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,539842,26691,513151
2017,其他化學製品製造業,出口額,百萬元,80241,14259,65982
2017,藥品及醫用化學製品製造業,出口額,百萬元,19426,1424,18001
2017,橡膠製品製造業,出口額,百萬元,73415,11850,61566
2017,塑膠製品製造業,出口額,百萬元,132895,48291,84604
2017,非金屬礦物製品製造業,出口額,百萬元,73555,19907,53648
2017,基本金屬製造業,出口額,百萬元,340897,29693,311203
2017,金屬製品製造業,出口額,百萬元,348755,120014,228741
2017,電子零組件製造業,出口額,百萬元,3082695,301530,2781165
2017,電腦、電子產品及光學製品製造業,出口額,百萬元,450310,35548,414762
2017,電力設備及配備製造業,出口額,百萬元,198032,42764,155268
2017,機械設備製造業,出口額,百萬元,354781,141460,213321
2017,汽車及其零件製造業,出口額,百萬元,111519,14952,96567
2017,其他運輸工具及其零件製造業,出口額,百萬元,188604,48076,140527
2017,家具製造業,出口額,百萬元,26017,15683,10334
2017,其他製造業,出口額,百萬元,92169,27831,64338
2017,產業用機械設備維修及安裝業,出口額,百萬元,58337,13520,44817
2018,總計,出口額,百萬元,7259463,1006563,6252899
2018,食品及飼品製造業,出口額,百萬元,39855,10820,29035
2018,飲料製造業,出口額,百萬元,2726,530,2196
2018,菸草製造業,出口額,百萬元,3368,0,
2018,紡織業,出口額,百萬元,193196,21948,171248
2018,成衣及服飾品製造業,出口額,百萬元,19322,9753,9569
2018,皮革、毛皮及其製品製造業,出口額,百萬元,39282,7418,31864
2018,木竹製品製造業,出口額,百萬元,4542,2322,2220
2018,紙漿、紙及紙製品製造業,出口額,百萬元,29314,5985,23329
2018,印刷及資料儲存媒體複製業,出口額,百萬元,49013,4158,44855
2018,石油及煤製品製造業,出口額,百萬元,382713,154,382559
2018,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,589557,29178,560379
2018,其他化學製品製造業,出口額,百萬元,87184,13509,73675
2018,藥品及醫用化學製品製造業,出口額,百萬元,20604,1563,19041
2018,橡膠製品製造業,出口額,百萬元,78017,12257,65760
2018,塑膠製品製造業,出口額,百萬元,140225,51901,88324
2018,非金屬礦物製品製造業,出口額,百萬元,69793,20059,49734
2018,基本金屬製造業,出口額,百萬元,373216,30723,342493
2018,金屬製品製造業,出口額,百萬元,369421,125843,243578
2018,電子零組件製造業,出口額,百萬元,3212611,309452,2903159
2018,電腦、電子產品及光學製品製造業,出口額,百萬元,471727,35333,436394
2018,電力設備及配備製造業,出口額,百萬元,197093,35542,161551
2018,機械設備製造業,出口額,百萬元,379095,149239,229856
2018,汽車及其零件製造業,出口額,百萬元,117893,15797,102096
2018,其他運輸工具及其零件製造業,出口額,百萬元,194217,52744,141473
2018,家具製造業,出口額,百萬元,28027,16908,11119
2018,其他製造業,出口額,百萬元,102749,29352,73397
2018,產業用機械設備維修及安裝業,出口額,百萬元,64701,14075,50626
2019,總計,出口額,百萬元,7160725,973884,6186841
2019,食品及飼品製造業,出口額,百萬元,40570,12577,27993
2019,飲料製造業,出口額,百萬元,3100,544,2556
2019,菸草製造業,出口額,百萬元,3288,,
2019,紡織業,出口額,百萬元,177134,22145,154989
2019,成衣及服飾品製造業,出口額,百萬元,18029,8804,9225
2019,皮革、毛皮及其製品製造業,出口額,百萬元,39969,7769,32199
2019,木竹製品製造業,出口額,百萬元,4626,2675,1951
2019,紙漿、紙及紙製品製造業,出口額,百萬元,32964,5873,27091
2019,印刷及資料儲存媒體複製業,出口額,百萬元,54309,4328,49981
2019,石油及煤製品製造業,出口額,百萬元,371588,404,371184
2019,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,496739,32830,463909
2019,其他化學製品製造業,出口額,百萬元,89493,14087,75407
2019,藥品及醫用化學製品製造業,出口額,百萬元,21579,1510,20069
2019,橡膠製品製造業,出口額,百萬元,79406,12312,67094
2019,塑膠製品製造業,出口額,百萬元,133912,49559,84353
2019,非金屬礦物製品製造業,出口額,百萬元,66152,18139,48013
2019,基本金屬製造業,出口額,百萬元,325070,25266,299803
2019,金屬製品製造業,出口額,百萬元,349304,122191,227113
2019,電子零組件製造業,出口額,百萬元,3115993,281608,2834385
2019,電腦、電子產品及光學製品製造業,出口額,百萬元,638021,46635,591386
2019,電力設備及配備製造業,出口額,百萬元,221950,32119,189831
2019,機械設備製造業,出口額,百萬元,353059,138984,214075
2019,汽車及其零件製造業,出口額,百萬元,121138,15450,105689
2019,其他運輸工具及其零件製造業,出口額,百萬元,189626,57228,132398
2019,家具製造業,出口額,百萬元,29706,16235,13471
2019,其他製造業,出口額,百萬元,113699,29565,84134
2019,產業用機械設備維修及安裝業,出口額,百萬元,70300,15047,55253
2020,總計,出口額,百萬元,7150955,1093664,6057291
2020,食品及飼品製造業,出口額,百萬元,39246,13258,25988
2020,飲料製造業,出口額,百萬元,1948,514,1434
2020,菸草製造業,出口額,百萬元,2219,,
2020,紡織業,出口額,百萬元,144647,18785,125862
2020,成衣及服飾品製造業,出口額,百萬元,14700,7671,7029
2020,皮革、毛皮及其製品製造業,出口額,百萬元,25170,7732,17438
2020,木竹製品製造業,出口額,百萬元,4600,3566,1033
2020,紙漿、紙及紙製品製造業,出口額,百萬元,30194,5946,24248
2020,印刷及資料儲存媒體複製業,出口額,百萬元,60215,4111,56104
2020,石油及煤製品製造業,出口額,百萬元,167778,564,167213
2020,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,441268,33524,407744
2020,其他化學製品製造業,出口額,百萬元,85068,23477,61592
2020,藥品及醫用化學製品製造業,出口額,百萬元,23573,2803,20770
2020,橡膠製品製造業,出口額,百萬元,76465,13739,62726
2020,塑膠製品製造業,出口額,百萬元,130725,55513,75212
2020,非金屬礦物製品製造業,出口額,百萬元,62858,19825,43033
2020,基本金屬製造業,出口額,百萬元,276819,25615,251205
