年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2016,菸草製造業,內銷額,百萬元,23672,,
2016,紡織業,內銷額,百萬元,249983,93767,156216
2016,成衣及服飾品製造業,內銷額,百萬元,46565,33440,13125
2016,皮革、毛皮及其製品製造業,內銷額,百萬元,37195,20395,16800
2016,木竹製品製造業,內銷額,百萬元,41901,32018,9884
2016,紙漿、紙及紙製品製造業,內銷額,百萬元,166352,106601,59752
2016,印刷及資料儲存媒體複製業,內銷額,百萬元,104556,75852,28704
2016,石油及煤製品製造業,內銷額,百萬元,443097,41657,401439
2016,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,內銷額,百萬元,576586,354894,221692
2016,其他化學製品製造業,內銷額,百萬元,202123,61966,140157
2016,藥品及醫用化學製品製造業,內銷額,百萬元,82842,7937,74904
2016,橡膠製品製造業,內銷額,百萬元,75993,28305,47688
2016,塑膠製品製造業,內銷額,百萬元,292651,207025,85626
2016,非金屬礦物製品製造業,內銷額,百萬元,239357,136720,102637
2016,基本金屬製造業,內銷額,百萬元,807656,191737,615919
2016,金屬製品製造業,內銷額,百萬元,781651,587524,194127
2016,電子零組件製造業,內銷額,百萬元,649830,140866,508964
2016,電腦、電子產品及光學製品製造業,內銷額,百萬元,268103,53786,214317
2016,電力設備及配備製造業,內銷額,百萬元,326246,150068,176177
2016,機械設備製造業,內銷額,百萬元,403186,261674,141512
2016,汽車及其零件製造業,內銷額,百萬元,461209,58163,403045
2016,其他運輸工具及其零件製造業,內銷額,百萬元,147339,49405,97934
2016,家具製造業,內銷額,百萬元,40702,30161,10541
2016,其他製造業,內銷額,百萬元,78814,47119,31694
2016,產業用機械設備維修及安裝業,內銷額,百萬元,98996,76295,22701
2017,總計,內銷額,百萬元,7690831,3299999,4390833
2017,食品及飼品製造業,內銷額,百萬元,491616,200991,290625
2017,飲料製造業,內銷額,百萬元,67837,41916,25921
2017,菸草製造業,內銷額,百萬元,21914,,
2017,紡織業,內銷額,百萬元,252446,92824,159622
2017,成衣及服飾品製造業,內銷額,百萬元,44732,32723,12009
2017,皮革、毛皮及其製品製造業,內銷額,百萬元,34875,16145,18730
2017,木竹製品製造業,內銷額,百萬元,42995,33895,9099
2017,紙漿、紙及紙製品製造業,內銷額,百萬元,177564,108266,69298
2017,印刷及資料儲存媒體複製業,內銷額,百萬元,103127,75214,27912
2017,石油及煤製品製造業,內銷額,百萬元,437826,44345,393481
2017,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,內銷額,百萬元,675817,427555,248262
2017,其他化學製品製造業,內銷額,百萬元,217316,68876,148439
2017,藥品及醫用化學製品製造業,內銷額,百萬元,87189,8921,78269
2017,橡膠製品製造業,內銷額,百萬元,82355,30362,51993
2017,塑膠製品製造業,內銷額,百萬元,290632,207446,83187
2017,非金屬礦物製品製造業,內銷額,百萬元,248277,143164,105114
2017,基本金屬製造業,內銷額,百萬元,929837,206260,723577
2017,金屬製品製造業,內銷額,百萬元,839714,630560,209153
2017,電子零組件製造業,內銷額,百萬元,679241,145527,533714
2017,電腦、電子產品及光學製品製造業,內銷額,百萬元,279935,55499,224437
2017,電力設備及配備製造業,內銷額,百萬元,357463,155253,202210
2017,機械設備製造業,內銷額,百萬元,467240,283907,183333
2017,汽車及其零件製造業,內銷額,百萬元,470202,58284,411918
2017,其他運輸工具及其零件製造業,內銷額,百萬元,152335,53924,98411
2017,家具製造業,內銷額,百萬元,40730,30703,10027
2017,其他製造業,內銷額,百萬元,83927,48238,35690
2017,產業用機械設備維修及安裝業,內銷額,百萬元,113689,89798,23891
2018,總計,內銷額,百萬元,8076468,3450250,4626218
2018,食品及飼品製造業,內銷額,百萬元,537237,207936,329301
2018,飲料製造業,內銷額,百萬元,69359,43485,25874
2018,菸草製造業,內銷額,百萬元,20047,,
2018,紡織業,內銷額,百萬元,261404,91956,169448
2018,成衣及服飾品製造業,內銷額,百萬元,44005,32221,11784
2018,皮革、毛皮及其製品製造業,內銷額,百萬元,30549,15459,15090
2018,木竹製品製造業,內銷額,百萬元,43645,34285,9360
2018,紙漿、紙及紙製品製造業,內銷額,百萬元,177120,108612,68508
2018,印刷及資料儲存媒體複製業,內銷額,百萬元,105791,77398,28393
2018,石油及煤製品製造業,內銷額,百萬元,509170,51045,458125
2018,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,內銷額,百萬元,745624,479898,265726
2018,其他化學製品製造業,內銷額,百萬元,223367,68951,154416
2018,藥品及醫用化學製品製造業,內銷額,百萬元,89489,9381,80108
2018,橡膠製品製造業,內銷額,百萬元,80531,31217,49314
2018,塑膠製品製造業,內銷額,百萬元,301764,213908,87856
2018,非金屬礦物製品製造業,內銷額,百萬元,261441,149108,112333
2018,基本金屬製造業,內銷額,百萬元,983478,211462,772016
2018,金屬製品製造業,內銷額,百萬元,877588,654360,223228
2018,電子零組件製造業,內銷額,百萬元,707924,150046,557878
2018,電腦、電子產品及光學製品製造業,內銷額,百萬元,277102,52158,224944
2018,電力設備及配備製造業,內銷額,百萬元,376975,162857,214118
2018,機械設備製造業,內銷額,百萬元,462764,299280,163484
2018,汽車及其零件製造業,內銷額,百萬元,477176,57854,419322
2018,其他運輸工具及其零件製造業,內銷額,百萬元,149342,50132,99210
2018,家具製造業,內銷額,百萬元,42724,32495,10229
2018,其他製造業,內銷額,百萬元,86821,49255,37566
2018,產業用機械設備維修及安裝業,內銷額,百萬元,134032,109118,24914
2019,總計,內銷額,百萬元,7804553,3312344,4492209
2019,食品及飼品製造業,內銷額,百萬元,545844,220742,325101
2019,飲料製造業,內銷額,百萬元,68216,42612,25604
2019,菸草製造業,內銷額,百萬元,15443,,
2019,紡織業,內銷額,百萬元,244505,85346,159160
2019,成衣及服飾品製造業,內銷額,百萬元,42972,31511,11461
2019,皮革、毛皮及其製品製造業,內銷額,百萬元,25015,13537,11478
2019,木竹製品製造業,內銷額,百萬元,44538,33925,10613
2019,紙漿、紙及紙製品製造業,內銷額,百萬元,173754,106260,67493
2019,印刷及資料儲存媒體複製業,內銷額,百萬元,104631,77797,26834
2019,石油及煤製品製造業,內銷額,百萬元,423313,50731,372582
2019,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,內銷額,百萬元,626775,387555,239220
2019,其他化學製品製造業,內銷額,百萬元,208601,63726,144874
2019,藥品及醫用化學製品製造業,內銷額,百萬元,93491,9670,83821
2019,橡膠製品製造業,內銷額,百萬元,78544,32386,46158
2019,塑膠製品製造業,內銷額,百萬元,292853,206884,85969
2019,非金屬礦物製品製造業,內銷額,百萬元,269506,152091,117415
2019,基本金屬製造業,內銷額,百萬元,891011,182942,708069
2019,金屬製品製造業,內銷額,百萬元,861404,641553,219851
2019,電子零組件製造業,內銷額,百萬元,667017,148658,518360
2019,電腦、電子產品及光學製品製造業,內銷額,百萬元,313118,54663,258455
2019,電力設備及配備製造業,內銷額,百萬元,397284,158762,238522
2019,機械設備製造業,內銷額,百萬元,487531,315269,172261
2019,汽車及其零件製造業,內銷額,百萬元,506372,56246,450126
2019,其他運輸工具及其零件製造業,內銷額,百萬元,153410,49530,103880
2019,家具製造業,內銷額,百萬元,43763,32441,11322
2019,其他製造業,內銷額,百萬元,86676,49458,37218
2019,產業用機械設備維修及安裝業,內銷額,百萬元,138966,104958,34008
2020,總計,內銷額,百萬元,7850717.615,3464203.526,4386514.089
2020,食品及飼品製造業,內銷額,百萬元,571827,247298,324529
2020,飲料製造業,內銷額,百萬元,65115,42847,22268
2020,菸草製造業,內銷額,百萬元,16982,,
