年度,行業別,行業別代碼,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人),政府僱用(千人)
2017,金融及保險業,K,受僱人數,千人,426,327,82,17
2017,不動產業,L,受僱人數,千人,93,90,2,1
2017,專業、科學及技術服務業,M,受僱人數,千人,299,226,48,25
2017,支援服務業,N,受僱人數,千人,270,244,24,1
2017,公共行政及國防；強制性社會安全,O,受僱人數,千人,373,0,0,372
2017,教育業,P,受僱人數,千人,621,208,62,351
2017,醫療保健及社會工作服務業,Q,受僱人數,千人,421,201,140,81
2017,藝術、娛樂及休閒服務業,R,受僱人數,千人,85,65,5,16
2017,其他服務業,S,受僱人數,千人,334,326,5,3
2018,農、林、漁、牧業,A,受僱人數,千人,92,87,1,4
2018,礦業及土石採取業,B,受僱人數,千人,4,3,0,1
2018,製造業,C,受僱人數,千人,2828,1976,833,18
2018,電力及燃氣供應業,D,受僱人數,千人,30,4,2,24
2018,用水供應及污染整治業,E,受僱人數,千人,74,27,2,46
2018,營建工程業,F,受僱人數,千人,754,740,7,7
2018,批發及零售業,G,受僱人數,千人,1200,1124,66,9
2018,運輸及倉儲業,H,受僱人數,千人,365,240,71,55
2018,住宿及餐飲業,I,受僱人數,千人,548,524,23,0
2018,出版、影音製作、傳播及資通訊服務業,J,受僱人數,千人,246,180,64,1
2018,金融及保險業,K,受僱人數,千人,427,329,82,16
2018,不動產業,L,受僱人數,千人,95,90,4,1
2018,專業、科學及技術服務業,M,受僱人數,千人,305,228,51,25
2018,支援服務業,N,受僱人數,千人,274,247,25,1
2018,公共行政及國防；強制性社會安全,O,受僱人數,千人,367,1,0,367
2018,教育業,P,受僱人數,千人,621,215,63,343
2018,醫療保健及社會工作服務業,Q,受僱人數,千人,429,203,143,83
2018,藝術、娛樂及休閒服務業,R,受僱人數,千人,89,67,6,16
2018,其他服務業,S,受僱人數,千人,335,329,4,2
2019,農、林、漁、牧業,A,受僱人數,千人,94,89,1,4
2019,礦業及土石採取業,B,受僱人數,千人,4,3,0,1
2019,製造業,C,受僱人數,千人,2840,1990,833,16
2019,電力及燃氣供應業,D,受僱人數,千人,31,3,2,26
2019,用水供應及污染整治業,E,受僱人數,千人,77,28,2,48
2019,營建工程業,F,受僱人數,千人,757,742,8,6
2019,批發及零售業,G,受僱人數,千人,1223,1154,60,9
2019,運輸及倉儲業,H,受僱人數,千人,360,239,68,53
2019,住宿及餐飲業,I,受僱人數,千人,555,534,22,0
2019,出版、影音製作、傳播及資通訊服務業,J,受僱人數,千人,248,185,62,1
2019,金融及保險業,K,受僱人數,千人,428,336,75,17
2019,不動產業,L,受僱人數,千人,96,91,5,1
2019,專業、科學及技術服務業,M,受僱人數,千人,306,229,50,27
2019,支援服務業,N,受僱人數,千人,274,249,25,0
2019,公共行政及國防；強制性社會安全,O,受僱人數,千人,368,1,0,368
2019,教育業,P,受僱人數,千人,625,225,57,343
2019,醫療保健及社會工作服務業,Q,受僱人數,千人,439,209,148,82
2019,藝術、娛樂及休閒服務業,R,受僱人數,千人,90,69,6,15
2019,其他服務業,S,受僱人數,千人,333,327,4,2
2020,農林漁牧業,A,受僱人數,千人,95,91,0,4
2020,礦業及土石採取業,B,受僱人數,千人,3,3,0,1
2020,製造業,C,受僱人數,千人,2831,1981,833,17
2020,電力及燃氣供應業,D,受僱人數,千人,32,5,1,26
2020,用水供應及污染整治業,E,受僱人數,千人,79,34,0,45
2020,營建工程業,F,受僱人數,千人,765,751,8,6
2020,批發及零售業,G,受僱人數,千人,1213,1180,24,8
2020,運輸及倉儲業,H,受僱人數,千人,359,266,40,54
2020,住宿及餐飲業,I,受僱人數,千人,558,550,8,0
2020,出版、影音製作、傳播及資通訊服務業,J,受僱人數,千人,251,214,37,0
2020,金融及保險業,K,受僱人數,千人,427,372,39,16
2020,不動產業,L,受僱人數,千人,96,94,1,0
2020,專業、科學及技術服務業,M,受僱人數,千人,310,251,32,27
2020,支援服務業,N,受僱人數,千人,275,267,8,0
2020,公共行政及國防；強制性社會安全,O,受僱人數,千人,374,1,0,374
2020,教育業,P,受僱人數,千人,628,248,26,354
2020,醫療保健及社會工作服務業,Q,受僱人數,千人,451,268,106,77
2020,藝術、娛樂及休閒服務業,R,受僱人數,千人,93,78,2,13
2020,其他服務業,S,受僱人數,千人,335,332,1,2
2021,農、林、漁、牧業,A,受僱人數,千人,93,89,0,4
2021,礦業及土石採取業,B,受僱人數,千人,4,3,0,1
2021,製造業,C,受僱人數,千人,2821,1915,888,18
2021,電力及燃氣供應業,D,受僱人數,千人,32,5,1,25
2021,用水供應及污染整治業,E,受僱人數,千人,77,33,0,44
2021,營建工程業,F,受僱人數,千人,768,756,8,5
2021,批發及零售業,G,受僱人數,千人,1215,1179,28,8
2021,運輸及倉儲業,H,受僱人數,千人,355,266,37,52
2021,住宿及餐飲業,I,受僱人數,千人,556,549,7,0
2021,出版、影音製作、傳播及資通訊服務業,J,受僱人數,千人,250,214,36,0
2021,金融及保險業,K,受僱人數,千人,427,373,40,15
2021,不動產業,L,受僱人數,千人,96,94,1,1
2021,專業、科學及技術服務業,M,受僱人數,千人,312,256,29,27
2021,支援服務業,N,受僱人數,千人,274,265,9,0
2021,公共行政及國防；強制性社會安全,O,受僱人數,千人,378,0,0,378
2021,教育業,P,受僱人數,千人,615,238,27,350
2021,醫療保健及社會工作服務業,Q,受僱人數,千人,467,277,107,83
2021,藝術、娛樂及休閒服務業,R,受僱人數,千人,90,75,2,14
2021,其他服務業,S,受僱人數,千人,339,335,1,2
2022,農、林、漁、牧業,A,受僱人數,千人,96,92,0,4
2022,礦業及土石採取業,B,受僱人數,千人,3,3,0,0
2022,製造業,C,受僱人數,千人,2818,1876,924,18
2022,電力及燃氣供應業,D,受僱人數,千人,33,6,3,23
2022,用水供應及污染整治業,E,受僱人數,千人,78,32,0,46
2022,營建工程業,F,受僱人數,千人,768,753,8,7
2022,批發及零售業,G,受僱人數,千人,1211,1173,29,9
2022,運輸及倉儲業,H,受僱人數,千人,355,261,43,51
2022,住宿及餐飲業,I,受僱人數,千人,562,553,8,1
