年度,行業別,行業別代碼,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人),政府僱用(千人)
2017,支援服務業,N,就業人數,千人,292,267,25,1
2017,公共行政及國防；強制性社會安全,O,就業人數,千人,373,0,0,372
2017,教育業,P,就業人數,千人,652,239,62,351
2017,醫療保健及社會工作服務業,Q,就業人數,千人,451,230,140,81
2017,藝術、娛樂及休閒服務業,R,就業人數,千人,106,85,5,16
2017,其他服務業,S,就業人數,千人,551,543,5,3
2018,農、林、漁、牧業,A,就業人數,千人,561,556,1,4
2018,礦業及土石採取業,B,就業人數,千人,4,3,0,1
2018,製造業,C,就業人數,千人,3064,2212,834,18
2018,電力及燃氣供應業,D,就業人數,千人,30,4,2,24
2018,用水供應及污染整治業,E,就業人數,千人,81,34,2,46
2018,營建工程業,F,就業人數,千人,904,890,7,7
2018,批發及零售業,G,就業人數,千人,1901,1825,66,9
2018,運輸及倉儲業,H,就業人數,千人,446,320,71,55
2018,住宿及餐飲業,I,就業人數,千人,838,814,24,0
2018,出版、影音製作、傳播及資通訊服務業,J,就業人數,千人,258,193,65,1
2018,金融及保險業,K,就業人數,千人,432,334,83,16
2018,不動產業,L,就業人數,千人,106,101,4,1
2018,專業、科學及技術服務業,M,就業人數,千人,374,297,52,25
2018,支援服務業,N,就業人數,千人,296,269,25,1
2018,公共行政及國防；強制性社會安全,O,就業人數,千人,367,1,0,367
2018,教育業,P,就業人數,千人,653,247,63,343
2018,醫療保健及社會工作服務業,Q,就業人數,千人,456,230,143,83
2018,藝術、娛樂及休閒服務業,R,就業人數,千人,110,88,6,16
2018,其他服務業,S,就業人數,千人,554,547,4,2
2019,農、林、漁、牧業,A,就業人數,千人,559,554,1,4
2019,礦業及土石採取業,B,就業人數,千人,4,3,0,1
2019,製造業,C,就業人數,千人,3066,2216,833,16
2019,電力及燃氣供應業,D,就業人數,千人,31,3,2,26
2019,用水供應及污染整治業,E,就業人數,千人,84,34,2,48
2019,營建工程業,F,就業人數,千人,907,893,8,6
2019,批發及零售業,G,就業人數,千人,1915,1846,60,9
2019,運輸及倉儲業,H,就業人數,千人,450,329,68,53
2019,住宿及餐飲業,I,就業人數,千人,848,826,22,0
2019,出版、影音製作、傳播及資通訊服務業,J,就業人數,千人,262,200,62,1
2019,金融及保險業,K,就業人數,千人,434,343,75,17
2019,不動產業,L,就業人數,千人,108,103,5,1
2019,專業、科學及技術服務業,M,就業人數,千人,377,299,50,27
2019,支援服務業,N,就業人數,千人,297,272,25,0
2019,公共行政及國防；強制性社會安全,O,就業人數,千人,368,1,0,368
2019,教育業,P,就業人數,千人,657,257,57,343
2019,醫療保健及社會工作服務業,Q,就業人數,千人,461,231,148,82
2019,藝術、娛樂及休閒服務業,R,就業人數,千人,115,94,6,15
2019,其他服務業,S,就業人數,千人,557,551,4,2
2020,農、林、漁、牧業,A,就業人數,千人,548,544,0,4
2020,礦業及土石採取業,B,就業人數,千人,4,3,0,1
2020,製造業,C,就業人數,千人,3041,2190,834,17
2020,電力及燃氣供應業,D,就業人數,千人,32,5,1,26
2020,用水供應及污染整治業,E,就業人數,千人,85,39,1,45
2020,營建工程業,F,就業人數,千人,915,901,8,6
2020,批發及零售業,G,就業人數,千人,1899,1866,25,8
2020,運輸及倉儲業,H,就業人數,千人,455,362,40,54
2020,住宿及餐飲業,I,就業人數,千人,854,846,8,0
2020,出版、影音製作、傳播及資通訊服務業,J,就業人數,千人,266,229,37,0
2020,金融及保險業,K,就業人數,千人,434,379,39,16
2020,不動產業,L,就業人數,千人,106,105,1,0
2020,專業、科學及技術服務業,M,就業人數,千人,382,323,32,27
2020,支援服務業,N,就業人數,千人,298,289,8,0
2020,公共行政及國防；強制性社會安全,O,就業人數,千人,374,1,0,374
2020,教育業,P,就業人數,千人,657,278,26,354
2020,醫療保健及社會工作服務業,Q,就業人數,千人,474,291,106,77
2020,藝術、娛樂及休閒服務業,R,就業人數,千人,117,101,2,13
2020,其他服務業,S,就業人數,千人,563,559,1,2
2021,農、林、漁、牧業,A,就業人數,千人,542,538,0,4
2021,礦業及土石採取業,B,就業人數,千人,4,3,0,1
2021,製造業,C,就業人數,千人,3020,2113,889,18
2021,電力及燃氣供應業,D,就業人數,千人,33,6,1,25
2021,用水供應及污染整治業,E,就業人數,千人,84,40,0,44
2021,營建工程業,F,就業人數,千人,918,906,8,5
2021,批發及零售業,G,就業人數,千人,1878,1842,29,8
2021,運輸及倉儲業,H,就業人數,千人,460,371,37,52
2021,住宿及餐飲業,I,就業人數,千人,839,832,7,0
2021,出版、影音製作、傳播及資通訊服務業,J,就業人數,千人,266,230,36,0
2021,金融及保險業,K,就業人數,千人,433,379,40,15
2021,不動產業,L,就業人數,千人,106,104,1,1
2021,專業、科學及技術服務業,M,就業人數,千人,388,332,29,27
2021,支援服務業,N,就業人數,千人,295,286,9,0
2021,公共行政及國防；強制性社會安全,O,就業人數,千人,378,0,0,378
2021,教育業,P,就業人數,千人,645,268,27,350
2021,醫療保健及社會工作服務業,Q,就業人數,千人,488,297,107,83
2021,藝術、娛樂及休閒服務業,R,就業人數,千人,113,98,2,14
2021,其他服務業,S,就業人數,千人,558,555,1,2
2022,農、林、漁、牧業,A,就業人數,千人,530,526,0,4
2022,礦業及土石採取業,B,就業人數,千人,3,3,0,0
2022,製造業,C,就業人數,千人,3012,2067,926,18
2022,電力及燃氣供應業,D,就業人數,千人,33,7,3,23
2022,用水供應及污染整治業,E,就業人數,千人,84,38,0,46
2022,營建工程業,F,就業人數,千人,910,895,8,7
2022,批發及零售業,G,就業人數,千人,1850,1813,29,9
2022,運輸及倉儲業,H,就業人數,千人,475,381,43,51
2022,住宿及餐飲業,I,就業人數,千人,843,834,8,1
2022,出版、影音製作、傳播及資通訊服務業,J,就業人數,千人,270,233,36,1
2022,金融及保險業,K,就業人數,千人,430,371,44,15
