年度,行業別,統計項目,單位,全部企業(家),中小企業(家),大企業(家)
2016,機械設備製造業,家數,家,16212,15711,501
2016,汽車及其零件製造業,家數,家,2301,2134,167
2016,其他運輸工具及其零件製造業,家數,家,2195,2054,141
2016,家具製造業,家數,家,2270,2237,33
2016,其他製造業,家數,家,4447,4265,182
2016,產業用機械設備維修及安裝業,家數,家,5119,5081,38
2017,總計,家數,家,149322,143429,5893
2017,食品及飼品製造業,家數,家,9908,9655,253
2017,飲料製造業,家數,家,626,595,31
2017,菸草製造業,家數,家,8,,
2017,紡織業,家數,家,5148,4886,262
2017,成衣及服飾品製造業,家數,家,3969,3924,45
2017,皮革、毛皮及其製品製造業,家數,家,1316,1280,36
2017,木竹製品製造業,家數,家,2834,2801,33
2017,紙漿、紙及紙製品製造業,家數,家,3028,2930,98
2017,印刷及資料儲存媒體複製業,家數,家,8513,8441,72
2017,石油及煤製品製造業,家數,家,194,181,13
2017,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,家數,家,1623,1384,239
2017,其他化學製品製造業,家數,家,2727,2554,173
2017,藥品及醫用化學製品製造業,家數,家,419,271,148
2017,橡膠製品製造業,家數,家,1666,1586,80
2017,塑膠製品製造業,家數,家,10409,10132,277
2017,非金屬礦物製品製造業,家數,家,3384,3197,187
2017,基本金屬製造業,家數,家,6698,6370,328
2017,金屬製品製造業,家數,家,39507,38905,602
2017,電子零組件製造業,家數,家,6050,5039,1011
2017,電腦、電子產品及光學製品製造業,家數,家,3164,2649,515
2017,電力設備及配備製造業,家數,家,5310,4925,385
2017,機械設備製造業,家數,家,16314,15801,513
2017,汽車及其零件製造業,家數,家,2284,2109,175
2017,其他運輸工具及其零件製造業,家數,家,2172,2028,144
2017,家具製造業,家數,家,2255,2220,35
2017,其他製造業,家數,家,4365,4172,193
2017,產業用機械設備維修及安裝業,家數,家,5431,5389,42
2018,總計,家數,家,149821,143853,5968
2018,食品及飼品製造業,家數,家,9813,9559,254
2018,飲料製造業,家數,家,617,585,32
2018,菸草製造業,家數,家,8,,
2018,紡織業,家數,家,5097,4832,265
2018,成衣及服飾品製造業,家數,家,3867,3822,45
2018,皮革、毛皮及其製品製造業,家數,家,1265,1230,35
2018,木竹製品製造業,家數,家,2839,2805,34
2018,紙漿、紙及紙製品製造業,家數,家,3035,2938,97
2018,印刷及資料儲存媒體複製業,家數,家,8478,8406,72
2018,石油及煤製品製造業,家數,家,190,177,13
2018,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,家數,家,1650,1402,248
2018,其他化學製品製造業,家數,家,2707,2531,176
2018,藥品及醫用化學製品製造業,家數,家,420,271,149
2018,橡膠製品製造業,家數,家,1679,1594,85
2018,塑膠製品製造業,家數,家,10414,10130,284
2018,非金屬礦物製品製造業,家數,家,3364,3172,192
2018,基本金屬製造業,家數,家,6665,6331,334
2018,金屬製品製造業,家數,家,39721,39104,617
2018,電子零組件製造業,家數,家,6088,5096,992
2018,電腦、電子產品及光學製品製造業,家數,家,3169,2650,519
2018,電力設備及配備製造業,家數,家,5424,5029,395
2018,機械設備製造業,家數,家,16444,15919,525
2018,汽車及其零件製造業,家數,家,2263,2087,176
2018,其他運輸工具及其零件製造業,家數,家,2198,2051,147
2018,家具製造業,家數,家,2268,2231,37
2018,其他製造業,家數,家,4315,4116,199
2018,產業用機械設備維修及安裝業,家數,家,5823,5780,43
2019,總計,家數,家,149769,143699,6070
2019,食品及飼品製造業,家數,家,9835,9577,258
2019,飲料製造業,家數,家,623,591,32
2019,菸草製造業,家數,家,8,,
2019,紡織業,家數,家,4988,4721,267
2019,成衣及服飾品製造業,家數,家,3741,3696,45
2019,皮革、毛皮及其製品製造業,家數,家,1230,1196,34
2019,木竹製品製造業,家數,家,2793,2759,34
2019,紙漿、紙及紙製品製造業,家數,家,3029,2930,99
2019,印刷及資料儲存媒體複製業,家數,家,8526,8454,72
2019,石油及煤製品製造業,家數,家,195,182,13
2019,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,家數,家,1634,1384,250
2019,其他化學製品製造業,家數,家,2718,2534,184
2019,藥品及醫用化學製品製造業,家數,家,425,275,150
2019,橡膠製品製造業,家數,家,1691,1606,85
2019,塑膠製品製造業,家數,家,10366,10077,289
2019,非金屬礦物製品製造業,家數,家,3308,3117,191
2019,基本金屬製造業,家數,家,6584,6245,339
2019,金屬製品製造業,家數,家,39684,39043,641
2019,電子零組件製造業,家數,家,6104,5115,989
2019,電腦、電子產品及光學製品製造業,家數,家,3168,2644,524
2019,電力設備及配備製造業,家數,家,5482,5073,409
2019,機械設備製造業,家數,家,16490,15947,543
2019,汽車及其零件製造業,家數,家,2264,2087,177
2019,其他運輸工具及其零件製造業,家數,家,2190,2036,154
2019,家具製造業,家數,家,2271,2234,37
2019,其他製造業,家數,家,4268,4068,200
2019,產業用機械設備維修及安裝業,家數,家,6154,6103,51
2020,總計,家數,家,149844,144647,5197
2020,食品及飼品製造業,家數,家,9913,9700,213
2020,飲料製造業,家數,家,619,590,29
2020,菸草製造業,家數,家,8,,
2020,紡織業,家數,家,4938,4698,240
2020,成衣及服飾品製造業,家數,家,3587,3559,28
2020,皮革、毛皮及其製品製造業,家數,家,1206,1184,22
2020,木竹製品製造業,家數,家,2806,2788,18
2020,紙漿、紙及紙製品製造業,家數,家,3000,2920,80
2020,印刷及資料儲存媒體複製業,家數,家,8514,8455,59
2020,石油及煤製品製造業,家數,家,198,184,14
2020,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,家數,家,1642,1415,227
2020,其他化學製品製造業,家數,家,2729,2583,146
2020,藥品及醫用化學製品製造業,家數,家,433,299,134
2020,橡膠製品製造業,家數,家,1696,1623,73
2020,塑膠製品製造業,家數,家,10322,10081,241
2020,非金屬礦物製品製造業,家數,家,3294,3138,156
2020,基本金屬製造業,家數,家,6497,6202,295
2020,金屬製品製造業,家數,家,39684,39172,512
2020,電子零組件製造業,家數,家,6116,5216,900
2020,電腦、電子產品及光學製品製造業,家數,家,3131,2658,473
2020,電力設備及配備製造業,家數,家,5541,5192,349
2020,機械設備製造業,家數,家,16539,16094,445
2020,汽車及其零件製造業,家數,家,2237,2078,159
2020,其他運輸工具及其零件製造業,家數,家,2177,2050,127
2020,家具製造業,家數,家,2277,2250,27
2020,其他製造業,家數,家,4297,4119,178
2020,產業用機械設備維修及安裝業,家數,家,6443,6394,49
2021,總計,家數,家,149919,144605,5314
2021,食品及飼品製造業,家數,家,10034,9807,227
2021,飲料製造業,家數,家,614,584,30
2021,菸草、石油及煤製品製造業,家數,家,211,195,16
2021,紡織業,家數,家,4835,4598,237
2021,成衣及服飾品製造業,家數,家,3407,3376,31
2021,皮革、毛皮及其製品製造業,家數,家,1144,1125,19
2021,木竹製品製造業,家數,家,2827,2808,19
2021,紙漿、紙及紙製品製造業,家數,家,3004,2924,80
2021,印刷及資料儲存媒體複製業,家數,家,8384,8324,60
2021,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,家數,家,1639,1401,238
2021,其他化學製品製造業,家數,家,2733,2580,153
2021,藥品及醫用化學製品製造業,家數,家,424,292,132
2021,橡膠製品製造業,家數,家,1703,1630,73
2021,塑膠製品製造業,家數,家,10345,10092,253
2021,非金屬礦物製品製造業,家數,家,3263,3107,156
2021,基本金屬製造業,家數,家,6445,6153,292
2021,金屬製品製造業,家數,家,39868,39344,524
2021,電子零組件製造業,家數,家,6122,5212,910
2021,電腦、電子產品及光學製品製造業,家數,家,3098,2627,471
2021,電力設備及配備製造業,家數,家,5580,5214,366
2021,機械設備製造業,家數,家,16502,16030,472
2021,汽車及其零件製造業,家數,家,2244,2078,166
2021,其他運輸工具及其零件製造業,家數,家,2195,2068,127
2021,家具製造業,家數,家,2315,2286,29
2021,其他製造業,家數,家,4247,4063,184
2021,產業用機械設備維修及安裝業,家數,家,6736,6687,49
2022,總計,家數,家,150607,145133,5474
2022,食品及飼品製造業,家數,家,10286,10043,243
2022,飲料製造業,家數,家,606,577,29
2022,紡織業,家數,家,4770,4535,235
2022,成衣及服飾品製造業,家數,家,3292,3261,31
2022,皮革、毛皮及其製品製造業,家數,家,1136,1117,19
2022,木竹製品製造業,家數,家,2856,2835,21
2022,紙漿、紙及紙製品製造業,家數,家,2985,2907,78
2022,印刷及資料儲存媒體複製業,家數,家,8376,8313,63
2022,石油及煤製品製造業,家數,家,200,183,17
2022,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,家數,家,1636,1393,243
2022,其他化學製品製造業,家數,家,2705,2549,156
2022,藥品及醫用化學製品製造業,家數,家,420,284,136
2022,橡膠製品製造業,家數,家,1683,1609,74
2022,塑膠製品製造業,家數,家,10278,10012,266
2022,非金屬礦物製品製造業,家數,家,3273,3114,159
2022,基本金屬製造業,家數,家,6363,6067,296
2022,金屬製品製造業,家數,家,40229,39682,547
2022,電子零組件製造業,家數,家,6133,5205,928
2022,電腦、電子產品及光學製品製造業,家數,家,3083,2609,474
2022,電力設備及配備製造業,家數,家,5664,5279,385
2022,機械設備製造業,家數,家,16548,16055,493
2022,汽車及其零件製造業,家數,家,2220,2047,173
2022,其他運輸工具及其零件製造業,家數,家,2235,2103,132
2022,家具製造業,家數,家,2323,2291,32
2022,其他製造業,家數,家,4233,4041,192
2022,產業用機械設備維修及安裝業,家數,家,7074,7022,52
2023,總計,家數,家,149227,143665,5562
2023,食品及飼品製造業,家數,家,10341,10088,253
2023,飲料製造業,家數,家,613,583,30
2023,紡織業,家數,家,4640,4404,236
2023,成衣及服飾品製造業,家數,家,3208,3180,28
2023,皮革、毛皮及其製品製造業,家數,家,1098,1078,20
2023,木竹製品製造業,家數,家,2801,2779,22
2023,紙漿、紙及紙製品製造業,家數,家,2954,2877,77
2023,印刷及資料儲存媒體複製業,家數,家,8347,8286,61
2023,石油及煤製品製造業,家數,家,195,178,17
2023,化學材料及肥料製造業,家數,家,1607,1368,239
2023,其他化學製品製造業,家數,家,2649,2489,160
2023,藥品及醫用化學製品製造業,家數,家,403,271,132
2023,橡膠製品製造業,家數,家,1664,1590,74
2023,塑膠製品製造業,家數,家,10092,9818,274
2023,非金屬礦物製品製造業,家數,家,3240,3072,168
2023,基本金屬製造業,家數,家,6264,5962,302
2023,金屬製品製造業,家數,家,39810,39249,561
2023,電子零組件製造業,家數,家,6081,5147,934
2023,電腦、電子產品及光學製品製造業,家數,家,3031,2555,476
2023,電力設備及配備製造業,家數,家,5661,5268,393
2023,機械設備製造業,家數,家,16383,15871,512
2023,汽車及其零件製造業,家數,家,2183,2011,172
2023,其他運輸工具及其零件製造業,家數,家,2216,2083,133
2023,家具製造業,家數,家,2306,2273,33
2023,其他製造業,家數,家,4117,3918,199
2023,產業用機械設備維修及安裝業,家數,家,7323,7267,56
2024,總計,家數,家,147647,141996,5651
2024,食品及飼品製造業,家數,家,10431,10172,259
2024,飲料製造業,家數,家,602,572,30
2024,紡織業,家數,家,4546,4306,240
2024,成衣及服飾品製造業,家數,家,3073,3046,27
2024,皮革、毛皮及其製品製造業,家數,家,1044,1025,19
2024,木竹製品製造業,家數,家,2766,2742,24
2024,紙漿、紙及紙製品製造業,家數,家,2947,2869,78
2024,印刷及資料儲存媒體複製業,家數,家,8264,8206,58
