年度,組織別,行業別,統計項目,單位,中小企業(家),大企業(家)
2023,其他,農、林、漁、牧業與礦業及土石採取業,家數,家,178, 
2023,總計,製造業,家數,家,143665,5562
2023,股份有限公司,製造業,家數,家,30706,5378
2023,有限公司,製造業,家數,家,64271,141
2023,合夥,製造業,家數,家,4174,0
2023,獨資,製造業,家數,家,42153, 
2023,本國公司之分公司,製造業,家數,家,864,0
2023,其他,製造業,家數,家,1497,41
2023,總計,電力及燃氣供應業與用水供應及污染整治業,家數,家,11473,365
2023,股份有限公司,電力及燃氣供應業與用水供應及污染整治業,家數,家,1661,353
2023,有限公司,電力及燃氣供應業與用水供應及污染整治業,家數,家,5030,9
2023,合夥,電力及燃氣供應業與用水供應及污染整治業,家數,家,228,0
2023,獨資,電力及燃氣供應業與用水供應及污染整治業,家數,家,4207,0
2023,本國公司之分公司,電力及燃氣供應業與用水供應及污染整治業,家數,家,78,0
2023,其他,電力及燃氣供應業與用水供應及污染整治業,家數,家,269, 
2023,總計,營建工程業,家數,家,163513,1105
2023,股份有限公司,營建工程業,家數,家,7965,868
2023,有限公司,營建工程業,家數,家,70142,206
2023,合夥,營建工程業,家數,家,5237,0
2023,獨資,營建工程業,家數,家,79576, 
2023,本國公司之分公司,營建工程業,家數,家,189,0
2023,其他,營建工程業,家數,家,404,29
2023,總計,批發及零售業,家數,家,762109,4122
2023,股份有限公司,批發及零售業,家數,家,54421,3743
2023,有限公司,批發及零售業,家數,家,249273,274
2023,合夥,批發及零售業,家數,家,16244,0
2023,獨資,批發及零售業,家數,家,393438, 
2023,本國公司之分公司,批發及零售業,家數,家,26727,0
2023,其他,批發及零售業,家數,家,22006,102
2023,總計,運輸及倉儲業,家數,家,37965,351
2023,股份有限公司,運輸及倉儲業,家數,家,4921,316
2023,有限公司,運輸及倉儲業,家數,家,11249,14
2023,合夥,運輸及倉儲業,家數,家,867,0
2023,獨資,運輸及倉儲業,家數,家,11251, 
2023,本國公司之分公司,運輸及倉儲業,家數,家,973,0
2023,其他,運輸及倉儲業,家數,家,8704,19
2023,總計,住宿及餐飲業,家數,家,194589,461
2023,股份有限公司,住宿及餐飲業,家數,家,3583,421
2023,有限公司,住宿及餐飲業,家數,家,10127,34
2023,合夥,住宿及餐飲業,家數,家,7965,0
2023,獨資,住宿及餐飲業,家數,家,163938,0
2023,本國公司之分公司,住宿及餐飲業,家數,家,4573,0
2023,其他,住宿及餐飲業,家數,家,4403,6
2023,總計,出版影音及資通訊業,家數,家,28337,643
2023,股份有限公司,出版影音及資通訊業,家數,家,6784,596
2023,有限公司,出版影音及資通訊業,家數,家,14544,18
2023,合夥,出版影音及資通訊業,家數,家,306,0
2023,獨資,出版影音及資通訊業,家數,家,4327,0
2023,本國公司之分公司,出版影音及資通訊業,家數,家,340,0
2023,其他,出版影音及資通訊業,家數,家,2036,29
2023,總計,金融及保險業,家數,家,22891,2175
2023,股份有限公司,金融及保險業,家數,家,6434,1793
2023,有限公司,金融及保險業,家數,家,7651,252
2023,合夥,金融及保險業,家數,家,160, 
2023,獨資,金融及保險業,家數,家,2169,0
2023,本國公司之分公司,金融及保險業,家數,家,4696,0
2023,其他,金融及保險業,家數,家,1781,129
2023,總計,不動產業,家數,家,47223,2772
2023,股份有限公司,不動產業,家數,家,12827,2247
2023,有限公司,不動產業,家數,家,25125,302
2023,合夥,不動產業,家數,家,1039,0
2023,獨資,不動產業,家數,家,4444, 
2023,本國公司之分公司,不動產業,家數,家,524,0
2023,其他,不動產業,家數,家,3264,222
2023,總計,專業、科學及技術服務業,家數,家,65717,791
2023,股份有限公司,專業、科學及技術服務業,家數,家,9644,712
2023,有限公司,專業、科學及技術服務業,家數,家,35754,43
2023,合夥,專業、科學及技術服務業,家數,家,972,0
2023,獨資,專業、科學及技術服務業,家數,家,17402,0
2023,本國公司之分公司,專業、科學及技術服務業,家數,家,361,0
2023,其他,專業、科學及技術服務業,家數,家,1584,36
2023,總計,支援服務業,家數,家,36639,198
2023,股份有限公司,支援服務業,家數,家,3681,182
2023,有限公司,支援服務業,家數,家,14858,8
2023,合夥,支援服務業,家數,家,708,0
2023,獨資,支援服務業,家數,家,15182,0
2023,本國公司之分公司,支援服務業,家數,家,1215,0
2023,其他,支援服務業,家數,家,995,8
2023,總計,教育業,家數,家,7040,29
2023,股份有限公司,教育業,家數,家,490,16
2023,有限公司,教育業,家數,家,1544, 
2023,合夥,教育業,家數,家,138,0
2023,獨資,教育業,家數,家,2912,0
2023,本國公司之分公司,教育業,家數,家,207,0
2023,其他,教育業,家數,家,1749,12
2023,總計,醫療保健及社會工作服務業,家數,家,2151,29
2023,股份有限公司,醫療保健及社會工作服務業,家數,家,191,13
2023,有限公司,醫療保健及社會工作服務業,家數,家,473,0
2023,合夥,醫療保健及社會工作服務業,家數,家,91,0
2023,獨資,醫療保健及社會工作服務業,家數,家,764,0
2023,本國公司之分公司,醫療保健及社會工作服務業,家數,家,26,0
2023,其他,醫療保健及社會工作服務業,家數,家,606,16
2023,總計,藝術、娛樂及休閒服務業,家數,家,40848,136
2023,股份有限公司,藝術、娛樂及休閒服務業,家數,家,1166,124
2023,有限公司,藝術、娛樂及休閒服務業,家數,家,4921, 
2023,合夥,藝術、娛樂及休閒服務業,家數,家,748,0
2023,獨資,藝術、娛樂及休閒服務業,家數,家,32327, 
2023,本國公司之分公司,藝術、娛樂及休閒服務業,家數,家,446,0
2023,其他,藝術、娛樂及休閒服務業,家數,家,1240,6
2023,總計,其他服務業,家數,家,97586,102
2023,股份有限公司,其他服務業,家數,家,827,66
2023,有限公司,其他服務業,家數,家,5759,0
2023,合夥,其他服務業,家數,家,2189,0
2023,獨資,其他服務業,家數,家,86676, 
2023,本國公司之分公司,其他服務業,家數,家,402,0
2023,其他,其他服務業,家數,家,1733,34
2024,總計,農、林、漁、牧業與礦業及土石採取業,家數,家,12581,121
2024,股份有限公司,農、林、漁、牧業與礦業及土石採取業,家數,家,1441,112
2024,有限公司,農、林、漁、牧業與礦業及土石採取業,家數,家,2206,6
2024,合夥,農、林、漁、牧業與礦業及土石採取業,家數,家,240,0
2024,獨資,農、林、漁、牧業與礦業及土石採取業,家數,家,8490,0
2024,本國公司之分公司,農、林、漁、牧業與礦業及土石採取業,家數,家,27,0
2024,其他,農、林、漁、牧業與礦業及土石採取業,家數,家,177, 
2024,總計,製造業,家數,家,141996,5651
2024,股份有限公司,製造業,家數,家,30514,5467
2024,有限公司,製造業,家數,家,63826,141
2024,合夥,製造業,家數,家,4172,0
2024,獨資,製造業,家數,家,41111, 
2024,本國公司之分公司,製造業,家數,家,873,0
2024,其他,製造業,家數,家,1500,41
2024,總計,電力及燃氣供應業與用水供應及污染整治業,家數,家,11833,402
2024,股份有限公司,電力及燃氣供應業與用水供應及污染整治業,家數,家,1777,388
2024,有限公司,電力及燃氣供應業與用水供應及污染整治業,家數,家,5164,11
2024,合夥,電力及燃氣供應業與用水供應及污染整治業,家數,家,239,0
2024,獨資,電力及燃氣供應業與用水供應及污染整治業,家數,家,4296,0
2024,本國公司之分公司,電力及燃氣供應業與用水供應及污染整治業,家數,家,78,0
2024,其他,電力及燃氣供應業與用水供應及污染整治業,家數,家,279, 
2024,總計,營建工程業,家數,家,173493,1187
2024,股份有限公司,營建工程業,家數,家,8364,924
2024,有限公司,營建工程業,家數,家,74077,232
2024,合夥,營建工程業,家數,家,5678,0
2024,獨資,營建工程業,家數,家,84785, 
2024,本國公司之分公司,營建工程業,家數,家,192,0
2024,其他,營建工程業,家數,家,397,29
2024,總計,批發及零售業,家數,家,768408,4236
2024,股份有限公司,批發及零售業,家數,家,55295,3841
2024,有限公司,批發及零售業,家數,家,251735,292
2024,合夥,批發及零售業,家數,家,16864,0
2024,獨資,批發及零售業,家數,家,395087, 
2024,本國公司之分公司,批發及零售業,家數,家,27250,0
2024,其他,批發及零售業,家數,家,22177,101
2024,總計,運輸及倉儲業,家數,家,39711,357
2024,股份有限公司,運輸及倉儲業,家數,家,5038,321
2024,有限公司,運輸及倉儲業,家數,家,11391,14
2024,合夥,運輸及倉儲業,家數,家,885,0
2024,獨資,運輸及倉儲業,家數,家,11295, 
2024,本國公司之分公司,運輸及倉儲業,家數,家,1020,0
2024,其他,運輸及倉儲業,家數,家,10082,21
2024,總計,住宿及餐飲業,家數,家,200462,479
2024,股份有限公司,住宿及餐飲業,家數,家,3796,440
2024,有限公司,住宿及餐飲業,家數,家,10831,33
2024,合夥,住宿及餐飲業,家數,家,8468,0
2024,獨資,住宿及餐飲業,家數,家,167705,0
2024,本國公司之分公司,住宿及餐飲業,家數,家,4815,0
2024,其他,住宿及餐飲業,家數,家,4847,6
2024,總計,出版影音及資通訊業,家數,家,29067,685
2024,股份有限公司,出版影音及資通訊業,家數,家,7009,632
2024,有限公司,出版影音及資通訊業,家數,家,15100,23
2024,合夥,出版影音及資通訊業,家數,家,310,0
2024,獨資,出版影音及資通訊業,家數,家,4419,0
2024,本國公司之分公司,出版影音及資通訊業,家數,家,327,0
2024,其他,出版影音及資通訊業,家數,家,1902,30
2024,總計,金融及保險業,家數,家,23926,2256
2024,股份有限公司,金融及保險業,家數,家,6926,1870
2024,有限公司,金融及保險業,家數,家,8290,254
2024,合夥,金融及保險業,家數,家,160, 
2024,獨資,金融及保險業,家數,家,2151,0
2024,本國公司之分公司,金融及保險業,家數,家,4678,0
2024,其他,金融及保險業,家數,家,1721,131
2024,總計,不動產業,家數,家,48663,2956
2024,股份有限公司,不動產業,家數,家,13199,2401
2024,有限公司,不動產業,家數,家,25945,328
2024,合夥,不動產業,家數,家,1153,0
2024,獨資,不動產業,家數,家,4508, 
2024,本國公司之分公司,不動產業,家數,家,545,0
2024,其他,不動產業,家數,家,3313,225
2024,總計,專業、科學及技術服務業,家數,家,69164,838
2024,股份有限公司,專業、科學及技術服務業,家數,家,10149,756
2024,有限公司,專業、科學及技術服務業,家數,家,38106,45
2024,合夥,專業、科學及技術服務業,家數,家,1020,0
2024,獨資,專業、科學及技術服務業,家數,家,17899,0
2024,本國公司之分公司,專業、科學及技術服務業,家數,家,360,0
2024,其他,專業、科學及技術服務業,家數,家,1630,37
2024,總計,支援服務業,家數,家,37775,207
2024,股份有限公司,支援服務業,家數,家,3803,190
2024,有限公司,支援服務業,家數,家,15516,8
2024,合夥,支援服務業,家數,家,735,0
2024,獨資,支援服務業,家數,家,15440,0
2024,本國公司之分公司,支援服務業,家數,家,1245,0
2024,其他,支援服務業,家數,家,1036,9
2024,總計,教育業,家數,家,7820,30
2024,股份有限公司,教育業,家數,家,546,18
2024,有限公司,教育業,家數,家,1714, 
2024,合夥,教育業,家數,家,165,0
2024,獨資,教育業,家數,家,3296,0
2024,本國公司之分公司,教育業,家數,家,203,0
2024,其他,教育業,家數,家,1896,11
2024,總計,醫療保健及社會工作服務業,家數,家,2548,31
2024,股份有限公司,醫療保健及社會工作服務業,家數,家,248,13
2024,有限公司,醫療保健及社會工作服務業,家數,家,609,0
2024,合夥,醫療保健及社會工作服務業,家數,家,101,0
2024,獨資,醫療保健及社會工作服務業,家數,家,754,0
2024,本國公司之分公司,醫療保健及社會工作服務業,家數,家,28,0
2024,其他,醫療保健及社會工作服務業,家數,家,808,18
2024,總計,藝術、娛樂及休閒服務業,家數,家,47011,148
2024,股份有限公司,藝術、娛樂及休閒服務業,家數,家,1307,135
2024,有限公司,藝術、娛樂及休閒服務業,家數,家,5347,6
2024,合夥,藝術、娛樂及休閒服務業,家數,家,798,0
2024,獨資,藝術、娛樂及休閒服務業,家數,家,37729, 
2024,本國公司之分公司,藝術、娛樂及休閒服務業,家數,家,512,0
2024,其他,藝術、娛樂及休閒服務業,家數,家,1318,6
2024,總計,其他服務業,家數,家,101070,108
2024,股份有限公司,其他服務業,家數,家,889,72
2024,有限公司,其他服務業,家數,家,6100,0
2024,合夥,其他服務業,家數,家,2313,0
2024,獨資,其他服務業,家數,家,89500, 
2024,本國公司之分公司,其他服務業,家數,家,452,0
2024,其他,其他服務業,家數,家,1816,34
