年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2018,電力及燃氣供應業,銷售額,百萬元,910487,8468,902019
2018,用水供應及污染整治業,銷售額,百萬元,213825,62684,151141
2018,營建工程業,銷售額,百萬元,2326984,1527771,799213
2018,批發及零售業,銷售額,百萬元,15076833,4475925,10600908
2018,運輸及倉儲業,銷售額,百萬元,1272112,287676,984436
2018,住宿及餐飲業,銷售額,百萬元,692988,491310,201678
2018,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,1238943,133616,1105327
2018,金融及保險業,銷售額,百萬元,2512536,216723,2295813
2018,不動產業,銷售額,百萬元,1241823,275209,966614
2018,專業、科學及技術服務業,銷售額,百萬元,776800,239899,536901
2018,支援服務業,銷售額,百萬元,547973,164385,383588
2018,教育業,銷售額,百萬元,20318,14989,5329
2018,醫療保健及社會工作服務業,銷售額,百萬元,31580,7167,24413
2018,藝術、娛樂及休閒服務業,銷售額,百萬元,111531,68591,42940
2018,其他服務業,銷售額,百萬元,250866,132240,118626
2019,總計,銷售額,百萬元,42979088,12712963,30266126
2019,農、林、漁、牧業,銷售額,百萬元,57150,29894,27256
2019,礦業及土石採取業,銷售額,百萬元,51919,32650,19269
2019,製造業,銷售額,百萬元,14965278,4286228,10679050
2019,電力及燃氣供應業,銷售額,百萬元,942016,11651,930365
2019,用水供應及污染整治業,銷售額,百萬元,202917,62625,140292
2019,營建工程業,銷售額,百萬元,2466735,1626093,840642
2019,批發及零售業,銷售額,百萬元,15204412,4516661,10687750
2019,運輸及倉儲業,銷售額,百萬元,1276839,294890,981949
2019,住宿及餐飲業,銷售額,百萬元,727711,519165,208546
2019,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,1279890,144257,1135633
2019,金融及保險業,銷售額,百萬元,2589055,215718,2373337
2019,不動產業,銷售額,百萬元,1443152,306612,1136540
2019,專業、科學及技術服務業,銷售額,百萬元,779123,257143,521980
2019,支援服務業,銷售額,百萬元,557659,172493,385167
2019,教育業,銷售額,百萬元,22098,17051,5047
2019,醫療保健及社會工作服務業,銷售額,百萬元,33171,8002,25169
2019,藝術、娛樂及休閒服務業,銷售額,百萬元,122250,74412,47838
2019,其他服務業,銷售額,百萬元,257712,137417,120295
2020,總計,銷售額,百萬元,43629308,23555513,20073796
2020,農、林、漁、牧業,銷售額,百萬元,56207,45217,10990
2020,礦業及土石採取業,銷售額,百萬元,50876,33957,16919
2020,製造業,銷售額,百萬元,15001672,4557867,10443805
2020,電力及燃氣供應業,銷售額,百萬元,908135,681745,226391
2020,用水供應及污染整治業,銷售額,百萬元,204536,154464,50072
2020,營建工程業,銷售額,百萬元,2679866,1874204,805662
2020,批發及零售業,銷售額,百萬元,15412079,10755870,4656210
2020,運輸及倉儲業,銷售額,百萬元,1184489,824114,360375
