年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2017,藝術、娛樂及休閒服務業,出口額,百萬元,467,191,276
2017,其他服務業,出口額,百萬元,11330,269,11061
2018,總計,出口額,百萬元,10619697,1452905,9166792
2018,農、林、漁、牧業,出口額,百萬元,6611,2975,3636
2018,礦業及土石採取業,出口額,百萬元,615,302,313
2018,製造業,出口額,百萬元,7259463,1006563,6252899
2018,電力及燃氣供應業,出口額,百萬元,22731,69,22662
2018,用水供應及污染整治業,出口額,百萬元,13273,1693,11580
2018,營建工程業,出口額,百萬元,50893,13410,37483
2018,批發及零售業,出口額,百萬元,2573215,392770,2180446
2018,運輸及倉儲業,出口額,百萬元,365096,8518,356577
2018,住宿及餐飲業,出口額,百萬元,2219,277,1942
2018,出版、影音製作、傳播及資通訊服務業,出口額,百萬元,121152,11638,109514
2018,金融及保險業,出口額,百萬元,7895,1225,6670
2018,不動產業,出口額,百萬元,3112,988,2124
2018,專業、科學及技術服務業,出口額,百萬元,170390,10421,159969
2018,支援服務業,出口額,百萬元,7409,1363,6046
2018,教育業,出口額,百萬元,148,104,44
2018,醫療保健及社會工作服務業,出口額,百萬元,734,89,645
2018,藝術、娛樂及休閒服務業,出口額,百萬元,476,230,246
2018,其他服務業,出口額,百萬元,14266,270,13996
2019,總計,出口額,百萬元,10535516,1413715,9121801
2019,農、林、漁、牧業,出口額,百萬元,7292,3507,3785
2019,礦業及土石採取業,出口額,百萬元,263,262,2
2019,製造業,出口額,百萬元,7160725,973884,6186841
2019,電力及燃氣供應業,出口額,百萬元,23153,69,23084
2019,用水供應及污染整治業,出口額,百萬元,11619,1520,10098
2019,營建工程業,出口額,百萬元,54295,11130,43165
2019,批發及零售業,出口額,百萬元,2625485,385242,2240243
2019,運輸及倉儲業,出口額,百萬元,337817,8285,329531
2019,住宿及餐飲業,出口額,百萬元,3304,290,3014
2019,出版、影音製作、傳播及資通訊服務業,出口額,百萬元,134126,13617,120509
2019,金融及保險業,出口額,百萬元,11650,1107,10542
2019,不動產業,出口額,百萬元,3080,962,2118
2019,專業、科學及技術服務業,出口額,百萬元,138165,10856,127309
2019,支援服務業,出口額,百萬元,12805,1952,10853
2019,教育業,出口額,百萬元,117,90,27
2019,醫療保健及社會工作服務業,出口額,百萬元,679,135,544
2019,藝術、娛樂及休閒服務業,出口額,百萬元,858,393,464
2019,其他服務業,出口額,百萬元,10082,412,9669
2020,總計,出口額,百萬元,10252980,2694174,7558806
2020,農、林、漁、牧業,出口額,百萬元,6469,5212,1257
2020,礦業及土石採取業,出口額,百萬元,248,244,4
2020,製造業,出口額,百萬元,7150955,1093664,6057291
2020,電力及燃氣供應業,出口額,百萬元,13889,300,13589
2020,用水供應及污染整治業,出口額,百萬元,12844,7148,5696
2020,營建工程業,出口額,百萬元,37774,11338,26436
2020,批發及零售業,出口額,百萬元,2469775,1273481,1196293
2020,運輸及倉儲業,出口額,百萬元,260603,171518,89084
2020,住宿及餐飲業,出口額,百萬元,1999,724,1275
2020,出版、影音製作、傳播及資通訊服務業,出口額,百萬元,136987,49735,87251
2020,金融及保險業,出口額,百萬元,8366,4879,3486
2020,不動產業,出口額,百萬元,2842,1011,1831
2020,專業、科學及技術服務業,出口額,百萬元,137493,63826,73666
2020,支援服務業,出口額,百萬元,6535,5238,1297
2020,教育業,出口額,百萬元,88,58,30
2020,醫療保健及社會工作服務業,出口額,百萬元,733,561,173
2020,藝術、娛樂及休閒服務業,出口額,百萬元,588,587,2
2020,其他服務業,出口額,百萬元,4793,4649,144
2021,總計,出口額,百萬元,12944528,3361035,9583493
2021,農、林、漁、牧業,出口額,百萬元,8391,6828,1562
2021,礦業及土石採取業,出口額,百萬元,265,265,0
2021,製造業,出口額,百萬元,8754417,1260461,7493956
2021,電力及燃氣供應業,出口額,百萬元,14248,300,13948
2021,用水供應及污染整治業,出口額,百萬元,14077,9020,5057
2021,營建工程業,出口額,百萬元,38127,10714,27412
2021,批發及零售業,出口額,百萬元,3219531,1548329,1671202
2021,運輸及倉儲業,出口額,百萬元,495246,335115,160131
2021,住宿及餐飲業,出口額,百萬元,2160,668,1492
2021,出版、影音製作、傳播及資通訊服務業,出口額,百萬元,159418,56550,102869
2021,金融及保險業,出口額,百萬元,12703,5996,6707
2021,不動產業,出口額,百萬元,3833,1644,2188
2021,專業、科學及技術服務業,出口額,百萬元,205639,110024,95615
2021,支援服務業,出口額,百萬元,10622,9601,1020
2021,教育業,出口額,百萬元,124,100,23
2021,醫療保健及社會工作服務業,出口額,百萬元,705,607,98
2021,藝術、娛樂及休閒服務業,出口額,百萬元,543,479,64
2021,其他服務業,出口額,百萬元,4480,4333,147
2022,總計,出口額,百萬元,14661710,3607244,11054466
2022,農、林、漁、牧業與礦業及土石採取業,出口額,百萬元,7195,5582,1613
2022,製造業,出口額,百萬元,10253784,1358232,8895553
2022,電力及燃氣供應業與用水供應及污染整治業,出口額,百萬元,31397,9441,21956
2022,營建工程業,出口額,百萬元,50129,12409,37720
2022,批發及零售業,出口額,百萬元,3341156,1686677,1654479
2022,運輸及倉儲業,出口額,百萬元,590999,364599,226400
2022,住宿及餐飲業,出口額,百萬元,1937,259,1678
2022,出版、影音製作、傳播及資通訊服務業,出口額,百萬元,181340,68303,113037
2022,金融及保險業,出口額,百萬元,13316,8213,5103
2022,不動產業,出口額,百萬元,3798,1280,2519
2022,專業、科學及技術服務業,出口額,百萬元,168034,75554,92479
2022,支援服務業,出口額,百萬元,9054,7592,1462
